Series Code,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
AG.SRF.TOTL.K2,USA,9632030.0,9632030.0,9632030.0,9632030.0,9632030.0,9632030.0,9632030.0,9632030.0,9831510.0,9831510.0,9831510.0,9831510.0,9831510.0,9831510.0,9831510.0,9831510.0,9831510.0,9831510.0,9831510.0,
AG.SRF.TOTL.K2,EUU,4384965.0,4384985.0,4385295.0,4385645.0,4385415.0,4385435.0,4385725.0,4385705.0,4385720.0,4385856.0,4386040.0,4386022.0,4383342.0,4384062.0,4384082.5,4384131.5,4384317.5,4384317.5,4384317.5,
AG.SRF.TOTL.K2,JPN,377800.0,377880.0,377890.0,377900.0,377910.0,377910.0,377920.0,377930.0,377940.0,377947.0,377950.0,377955.0,377960.0,377962.0,377962.0,377971.0,377970.0,377970.0,377970.0,
AG.SRF.TOTL.K2,WLD,131606510.0,131606904.0,131607330.0,131607730.0,131605870.0,131607830.0,131608170.0,131608210.0,131807670.0,131805350.0,131805576.0,131805820.0,131803290.0,132047816.0,132046110.0,132048790.0,132036620.0,132036620.0,132025200.0,
NY.GNP.ATLS.CD,USA,1.01476e13,1.04622e13,1.07327e13,1.15364e13,1.27405e13,1.36514e13,1.42856e13,1.46083e13,1.48947e13,1.46437e13,1.51542e13,1.57569e13,1.65605e13,1.70489e13,1.77765e13,1.81914e13,1.84673e13,1.91948e13,2.06363e13,
NY.GNP.ATLS.CD,EUU,7922740000000.0,7639020000000.0,7515660000000.0,8523560000000.0,1.04085e13,1.202e13,1.29333e13,1.38807e13,1.51265e13,1.52178e13,1.53242e13,1.55121e13,1.52305e13,1.54056e13,1.54317e13,1.48515e13,1.43413e13,1.41887e13,1.54005e13,
NY.GNP.ATLS.CD,JPN,4595160000000.0,4675880000000.0,4434180000000.0,4479550000000.0,4899550000000.0,5182640000000.0,5105060000000.0,4959300000000.0,4975180000000.0,4967600000000.0,5562860000000.0,5992370000000.0,6315110000000.0,6152740000000.0,5593500000000.0,4937690000000.0,4811000000000.0,4877470000000.0,5226600000000.0,
NY.GNP.ATLS.CD,WLD,3.35619e13,3.38481e13,3.4018e13,3.69971e13,4.26845e13,4.78895e13,5.17271e13,5.58169e13,6.04966e13,6.14418e13,6.5151e13,6.93426e13,7.43833e13,7.79729e13,7.977e13,7.82225e13,7.71933e13,7.84777e13,8.44671e13,
NY.GNP.PCAP.CD,USA,35960.0,36710.0,37310.0,39770.0,43510.0,46190.0,47880.0,48500.0,48980.0,47730.0,48990.0,50570.0,52770.0,53950.0,55850.0,56740.0,57180.0,59060.0,63170.0,
NY.GNP.PCAP.CD,EUU,18453.79,17769.47,17442.498,19711.49,23980.553,27595.182,29595.797,31657.205,34387.97,34513.98,34706.773,35195.11,34505.203,34817.305,34789.16,33408.4,32192.633,31803.797,34469.54,
NY.GNP.PCAP.CD,JPN,36230.0,36770.0,34790.0,35070.0,38350.0,40560.0,39930.0,38740.0,38850.0,38800.0,43440.0,46880.0,49480.0,48280.0,43950.0,38840.0,37880.0,38470.0,41310.0,
NY.GNP.PCAP.CD,WLD,5489.008,5464.886,5423.078,5824.5054,6636.6216,7354.1543,7845.8574,8362.794,8952.928,8982.86,9411.83,9901.431,10496.849,10874.585,10995.402,10657.508,10396.307,10449.857,11124.504,
NY.GNP.MKTP.PP.CD,USA,1.03839e13,1.07437e13,1.10543e13,1.15303e13,1.2314e13,1.31697e13,1.4073e13,1.45432e13,1.46846e13,1.43987e13,1.51267e13,1.58322e13,1.66707e13,1.71759e13,1.80575e13,1.87043e13,1.90452e13,1.98303e13,2.08373e13,
NY.GNP.MKTP.PP.CD,EUU,9450790000000.0,9913340000000.0,1.03438e13,1.06035e13,1.11671e13,1.16455e13,1.27003e13,1.35247e13,1.41881e13,1.40165e13,1.44974e13,1.51837e13,1.54398e13,1.60051e13,1.64598e13,1.69393e13,1.80531e13,1.90917e13,1.98453e13,
NY.GNP.MKTP.PP.CD,JPN,3452930000000.0,3546350000000.0,3639730000000.0,3752540000000.0,3950150000000.0,4133440000000.0,4341520000000.0,4548810000000.0,4573200000000.0,4354890000000.0,4596530000000.0,4702730000000.0,4873840000000.0,5133800000000.0,5166030000000.0,5333310000000.0,5250730000000.0,5362180000000.0,5441910000000.0,
NY.GNP.MKTP.PP.CD,WLD,4.8562e13,5.09395e13,5.33436e13,5.62994e13,6.08959e13,6.56034e13,7.22094e13,7.80252e13,8.24213e13,8.31847e13,8.87069e13,9.46132e13,9.98664e13,1.04509e14,1.08781e14,1.10991e14,1.15047e14,1.21249e14,1.28205e14,
NY.GNP.PCAP.PP.CD,USA,36800.0,37700.0,38430.0,39740.0,42060.0,44570.0,47160.0,48280.0,48290.0,46940.0,48900.0,50820.0,53120.0,54360.0,56730.0,58340.0,58970.0,61020.0,63780.0,
NY.GNP.PCAP.PP.CD,EUU,22012.95,23059.885,24006.004,24521.623,25728.186,26735.438,29062.621,30845.393,32254.832,31789.389,32834.355,34449.883,34979.58,36172.125,37106.973,38104.832,40524.535,42793.87,44417.77,
NY.GNP.PCAP.PP.CD,JPN,27220.0,27890.0,28560.0,29380.0,30920.0,32350.0,33960.0,35540.0,35710.0,34010.0,35890.0,36790.0,38190.0,40280.0,40590.0,41950.0,41350.0,42290.0,43010.0,
NY.GNP.PCAP.PP.CD,WLD,7942.252,8224.351,8503.934,8863.304,9468.131,10074.389,10952.568,11690.168,12197.575,12161.704,12814.762,13509.828,14092.987,14575.533,14994.251,15122.019,15494.416,16145.101,16884.82,
SP.DYN.LE00.IN,USA,76.63659,76.836586,76.936584,77.03658,77.48781,77.48781,77.687805,77.98781,78.039024,78.39024,78.541466,78.641464,78.74146,78.74146,78.84146,78.69025,78.539024,78.539024,78.539024,
SP.DYN.LE00.IN,EUU,77.078445,77.42548,77.53272,77.59066,78.1174,78.27101,78.66892,78.90204,79.125496,79.35723,79.629425,80.13777,80.15689,80.46374,80.870445,80.56681,80.94309,80.92335,80.970505,
SP.DYN.LE00.IN,JPN,81.076096,81.417076,81.563416,81.76,82.03024,81.925125,82.32195,82.50707,82.58756,82.931465,82.84268,82.59122,83.0961,83.331955,83.58781,83.7939,83.98488,84.099754,84.210976,
SP.DYN.LE00.IN,WLD,67.549255,67.8218,68.07043,68.32699,68.65234,68.92033,69.26243,69.59208,69.8993,70.24658,70.556206,70.884125,71.17172,71.46224,71.74238,71.947525,72.18048,72.3853,72.56006,
SP.DYN.TFRT.IN,USA,2.056,2.0305,2.0205,2.0475,2.0515,2.057,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8575,1.8625,1.8435,1.8205,1.7655,1.7295,
SP.DYN.TFRT.IN,EUU,1.4412872,1.422973,1.4211565,1.4324367,1.455969,1.4679127,1.4944613,1.5164725,1.567082,1.5596278,1.5673097,1.533534,1.5332705,1.5073382,1.5352833,1.5372463,1.5661464,1.557486,1.5434523,
SP.DYN.TFRT.IN,JPN,1.359,1.33,1.32,1.29,1.29,1.26,1.32,1.34,1.37,1.37,1.39,1.39,1.41,1.43,1.42,1.45,1.44,1.43,1.42,
SP.DYN.TFRT.IN,WLD,2.6960208,2.6663103,2.6437044,2.6248446,2.608569,2.5880117,2.5771294,2.5671282,2.5550652,2.5342915,2.516408,2.4988084,2.489385,2.4730186,2.4656475,2.4562638,2.4455757,2.4281962,2.4150321,
SP.DYN.CONU.ZS,USA,,,72.8,,,,,77.1,76.4,,76.4,,74.1,74.1,72.70028,,75.93718,,,
SP.DYN.CONU.ZS,EUU,,,,,,,,,,,,,,,72.26245,,,,,
SP.DYN.CONU.ZS,JPN,55.9,,,,52.0,54.3,,,,,,,,,54.7,39.8,,,,
SP.DYN.CONU.ZS,WLD,60.24049,,,,,,,,,,,,,,62.45726,,,,,
SH.STA.BRTC.ZS,USA,99.4,99.4,99.5,99.3,99.3,99.4,99.4,99.3,99.3,99.3,99.2,99.3,99.3,99.2,98.5,99.1,,,,
SH.STA.BRTC.ZS,EUU,99.393005,,,,,,,,,,98.79732,,,,,,98.53802,,,
SH.STA.BRTC.ZS,JPN,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,,99.8,99.9,,,,
SH.STA.BRTC.ZS,WLD,62.682083,,,,,,,,,,70.070076,,,,,,80.97134,,,
SH.DYN.MORT,USA,8.4,8.3,8.2,8.1,8.1,8.0,7.9,7.7,7.6,7.5,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,
SH.DYN.MORT,EUU,7.1550245,6.851253,6.6024513,6.358943,6.126993,5.8788958,5.6074133,5.3675375,5.1420074,4.9609466,4.8277497,4.6761274,4.559833,4.460215,4.331896,4.2236714,4.109795,4.001131,3.8871958,
SH.DYN.MORT,JPN,4.5,4.3,4.1,4.0,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3.0,2.9,2.8,3.0,2.7,2.6,2.5,
SH.DYN.MORT,WLD,76.4,73.8,71.1,68.4,65.9,63.0,60.4,57.9,55.6,53.2,51.3,49.0,47.1,45.4,43.8,42.4,41.1,39.8,38.6,
SE.PRM.CMPT.ZS,USA,,,,,,,,,,,,,,,,,,98.8322,,
SE.PRM.CMPT.ZS,EUU,97.76476,98.82216,97.94525,98.11234,97.92248,96.75162,96.40678,97.20971,97.1014,97.04903,97.36161,97.44744,96.8082,96.74014,96.57399,97.33527,96.66967,97.19801,97.26261,
SE.PRM.CMPT.ZS,JPN,,,,,,,,,,,,,,,,,,,,
SE.PRM.CMPT.ZS,WLD,81.77908,82.60549,83.26699,84.00906,84.54358,85.33132,85.80875,86.78066,88.33477,89.02232,88.79363,88.23209,89.14018,89.18956,88.93665,88.63873,88.73469,89.01403,89.58919,
SE.PRM.ENRR,USA,,,,,,101.87402,,,,,100.33347,99.38988,99.16532,99.45544,99.67338,100.29991,101.36286,101.82144,,
SE.PRM.ENRR,EUU,102.4513,102.2513,101.727,101.5552,102.3,102.8173,102.8213,102.8193,103.0471,102.7845,102.7011,102.5409,102.7609,103.4077,102.0661,101.9494,101.604,101.9404,101.9467,
