Año,AG.SRF.TOTL.K2,NY.GNP.ATLS.CD,NY.GNP.PCAP.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.DYN.CONU.ZS,SH.STA.BRTC.ZS,SH.DYN.MORT,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.ENR.PRSC.FM.ZS,AG.LND.FRST.K2,ER.PTD.TOTL.ZS,ER.H2O.FWTL.ZS,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,EG.USE.ELEC.KH.PC,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.KD.ZG,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,GC.REV.XGRT.GD.ZS,IC.REG.DURS,FS.AST.DOMS.GD.ZS,GC.TAX.TOTL.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,TX.VAL.TECH.MF.ZS,IQ.SCI.OVRL,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,DT.DOD.DECT.CD,DT.TDS.DECT.EX.ZS,SM.POP.NETM,BX.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,DT.ODA.ALLD.CD,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.ZS,SL.UEM.TOTL.MA.ZS,SL.TLF.TOTL.IN,SP.POP.65UP.MA.IN,SP.POP.65UP.FE.IN,SP.POP.65UP.TO,SP.POP.0014.MA.IN,SP.POP.0014.FE.IN,SP.POP.0014.TO,SP.POP.1564.MA.IN,SP.POP.1564.FE.IN,SP.POP.1564.TO,SL.TLF.TOTL.FE.ZS
2000,4384965.0,7922740000000.0,18453.79,9450790000000.0,22012.95,77.078445,1.4412872,,99.393005,7.1550245,97.76476,102.4513,100.8632,1.00193,1547363.5,,,3428.6611,9.111866,5780.197,7258060000000.0,3.9068167,3.3297048,2.3547444,25.44247,35.853436,35.309074,23.74436,34.929504,,,19.969822,1.7595285,51.054947,,,59.871998,,,,,29719402000.0,633987000000.0,3388050000.0,11.501861,9.823306,8.52837,199217040.0,26983340.0,40416964.0,67400320.0,37177190.0,35331570.0,72508770.0,144851400.0,144568160.0,289419520.0,43.55233
2001,4384985.0,7639020000000.0,17769.47,9913340000000.0,23059.885,77.42548,1.422973,,,6.851253,98.82216,102.2513,102.0387,1.00285,1551368.2,,,3515.3916,9.299228,5916.934,7385940000000.0,2.189414,3.474752,2.3680067,25.168863,35.78957,34.57511,23.127916,34.49322,,112.86407,19.49234,1.7127424,63.281136,,,58.8383,,,,,31573494000.0,366253000000.0,3439330000.0,10.541583,9.195772,8.1536255,199487250.0,27574608.0,40935136.0,68508730.0,36683584.0,34867730.0,71551630.0,145066050.0,144768530.0,289835260.0,43.643784
2002,4385295.0,7515660000000.0,17442.498,1.03438e13,24006.004,77.53272,1.4211565,,,6.6024513,97.94525,101.727,102.9368,1.0009,1555373.0,,,3512.7861,9.222939,5996.4014,8047700000000.0,1.1227264,3.2743418,2.1783693,24.767982,35.07884,32.996166,22.165304,34.00714,,112.32578,19.072235,1.6964091,69.65413,,,57.180984,,,,6853594.0,35556405000.0,295344000000.0,2584620000.0,10.685817,9.541027,8.649204,200144640.0,28190808.0,41510324.0,69700020.0,36239064.0,34445584.0,70685010.0,145423800.0,145072350.0,290496930.0,43.787334
2003,4385645.0,8523560000000.0,19711.49,1.06035e13,24521.623,77.59066,1.4324367,,,6.358943,98.11234,101.5552,103.1323,1.00192,1559377.8,,,3576.4912,9.3592825,6127.244,9909170000000.0,0.92550933,2.6828165,2.094101,24.436844,34.394043,32.7055,22.10865,33.912605,45.458332,115.04771,18.885149,1.6914328,76.514725,,,56.407467,,,,,44902020000.0,293508000000.0,3644570000.0,10.6207905,9.646565,8.881183,201933390.0,28822236.0,42133056.0,70954590.0,35865770.0,34089652.0,69955656.0,145967630.0,145537600.0,291505700.0,43.9993
2004,4385415.0,1.04085e13,23980.553,1.11671e13,25728.186,78.1174,1.455969,,,6.126993,97.92248,102.3,101.7508,1.00248,1563382.5,,,3607.6868,9.345066,6242.2188,1.13961e13,2.6024365,2.709268,2.089716,24.41783,36.040638,34.13209,22.341133,33.50231,40.0,115.571465,18.707441,1.6657269,84.552925,,,59.025692,,,,,53809095000.0,313828000000.0,4659490300.0,10.775136,9.882084,9.176148,203395230.0,29404372.0,42723984.0,72128136.0,35545530.0,33785244.0,69330856.0,146546220.0,146034880.0,292581250.0,44.139038
2005,4385435.0,1.202e13,27595.182,1.16455e13,26735.438,78.27101,1.4679127,,,5.8788958,96.75162,102.8173,103.3882,1.0006,1567387.2,,,3605.869,9.274367,6295.4375,1.19022e13,1.9311682,2.5431046,1.7988396,24.252853,37.432148,35.94483,22.514868,33.74015,30.583334,120.46479,19.014017,1.6270165,94.61257,,,61.641827,,,,,59399217000.0,731279000000.0,123460000.0,10.568272,9.569839,8.777365,205365650.0,29908384.0,43248040.0,73156430.0,35275100.0,33529536.0,68804620.0,147100880.0,146520020.0,293620900.0,44.24741
2006,4385725.0,1.29333e13,29595.797,1.27003e13,29062.621,78.66892,1.4944613,,,5.6074133,96.40678,102.8213,102.8621,0.99945,1572379.9,,,3618.5579,9.317587,6380.7607,1.26998e13,3.4933689,2.8990738,1.6832311,24.458113,39.569603,38.393925,23.515055,34.003323,26.84,126.85974,19.359457,1.5728471,104.26968,,,65.519066,,,,,66839210000.0,911860000000.0,196510000.0,9.599149,8.6252775,7.8457575,206996820.0,30480380.0,43743440.0,74223640.0,35150050.0,33395964.0,68546090.0,147366620.0,146861580.0,294228320.0,44.451843
2007,4385705.0,1.38807e13,31657.205,1.35247e13,30845.393,78.90204,1.5164725,,,5.3675375,97.20971,102.8193,102.7671,0.99927,1577372.4,,,3554.9138,9.130443,6405.552,1.47071e13,3.1561437,2.966345,1.6946574,24.44488,40.592476,39.305298,24.383257,34.14012,23.06,135.18959,19.627161,1.5298615,115.22883,15.582425,,67.0197,,,,3767581.0,80688890000.0,1477510000000.0,162910000.0,8.323157,7.4480557,6.7442393,208540620.0,30977640.0,44167960.0,75144936.0,35079110.0,33319358.0,68398700.0,147668380.0,147255950.0,294924770.0,44.5756
2008,4385720.0,1.51265e13,34387.97,1.41881e13,32254.832,79.125496,1.567082,,,5.1420074,97.1014,103.0471,103.4227,0.99839,1582365.2,,,3533.8364,8.900912,6409.244,1.62344e13,0.6527459,3.2528632,1.6345986,24.112635,40.980095,40.05118,23.952963,33.849808,20.01923,143.09993,19.096703,1.547059,121.30368,15.356133,,68.23369,,,,,93863770000.0,828461000000.0,241060000.0,7.8870273,7.200042,6.644547,210215520.0,31440948.0,44565790.0,76005590.0,35040330.0,33278780.0,68319520.0,147934400.0,147616420.0,295551550.0,44.722404
2009,4385856.0,1.52178e13,34513.98,1.40165e13,31789.389,79.35723,1.5596278,,,4.9609466,97.04903,102.7845,103.7501,0.99553,1587357.8,,,3321.3408,8.168339,6082.5034,1.47074e13,-4.3269796,1.678839,1.5022601,22.73057,36.17157,34.500095,20.607164,33.524662,17.826923,149.33894,18.322351,1.6335402,121.05487,16.946451,,57.48651,,,,,88540455000.0,478991000000.0,168830000.0,9.261118,9.116647,8.998255,210743580.0,31918126.0,44992412.0,76909416.0,34982824.0,33222484.0,68205704.0,148025940.0,147776020.0,295802700.0,44.973923
