Año,Consumo_electrico_PC,INB_ATLAS_PC,Penetracion_Celular_100,Inversion_Extranjera,Desempleo,Poblacion_Activa,Pob_mayor_65_Hombre,Pob_mayor_65_Mujer,Pob_mayor_65_Total,Pob_0_14_Hombre,Pob_0_14_Mujer,Pob_0_14_Total,Pob_15_64_Hombre,Pob_15_64_Mujer,Pob_15_64_Total
2000,5780.197,18453.79,51.054947,633987000000.0,9.823306,199217040.0,26983340.0,40416964.0,67400320.0,37177190.0,35331570.0,72508770.0,144851400.0,144568160.0,289419520.0
2001,5916.934,17769.47,63.281136,366253000000.0,9.195772,199487250.0,27574608.0,40935136.0,68508730.0,36683584.0,34867730.0,71551630.0,145066050.0,144768530.0,289835260.0
2002,5996.4014,17442.498,69.65413,295344000000.0,9.541027,200144640.0,28190808.0,41510324.0,69700020.0,36239064.0,34445584.0,70685010.0,145423800.0,145072350.0,290496930.0
2003,6127.244,19711.49,76.514725,293508000000.0,9.646565,201933390.0,28822236.0,42133056.0,70954590.0,35865770.0,34089652.0,69955656.0,145967630.0,145537600.0,291505700.0
2004,6242.2188,23980.553,84.552925,313828000000.0,9.882084,203395230.0,29404372.0,42723984.0,72128136.0,35545530.0,33785244.0,69330856.0,146546220.0,146034880.0,292581250.0
2005,6295.4375,27595.182,94.61257,731279000000.0,9.569839,205365650.0,29908384.0,43248040.0,73156430.0,35275100.0,33529536.0,68804620.0,147100880.0,146520020.0,293620900.0
2006,6380.7607,29595.797,104.26968,911860000000.0,8.6252775,206996820.0,30480380.0,43743440.0,74223640.0,35150050.0,33395964.0,68546090.0,147366620.0,146861580.0,294228320.0
2007,6405.552,31657.205,115.22883,1477510000000.0,7.4480557,208540620.0,30977640.0,44167960.0,75144936.0,35079110.0,33319358.0,68398700.0,147668380.0,147255950.0,294924770.0
2008,6409.244,34387.97,121.30368,828461000000.0,7.200042,210215520.0,31440948.0,44565790.0,76005590.0,35040330.0,33278780.0,68319520.0,147934400.0,147616420.0,295551550.0
2009,6082.5034,34513.98,121.05487,478991000000.0,9.116647,210743580.0,31918126.0,44992412.0,76909416.0,34982824.0,33222484.0,68205704.0,148025940.0,147776020.0,295802700.0
2010,6350.408,34706.773,118.4848,539436000000.0,9.795711,211354260.0,32456152.0,45507430.0,77963570.0,34882064.0,33121786.0,68003864.0,147900420.0,147664540.0,295564960.0
2011,6247.7773,35195.11,121.665825,877922000000.0,9.836141,210739020.0,33001840.0,45918188.0,78917510.0,34828360.0,33057672.0,67886840.0,147041570.0,146899360.0,293942620.0
2012,6248.064,34505.203,123.701744,570885000000.0,10.802606,212039860.0,33755536.0,46622330.0,80374180.0,34793520.0,33010220.0,67804936.0,146664700.0,146549630.0,293216800.0
2013,6160.7324,34817.305,125.03687,588631000000.0,11.323098,212597040.0,34601584.0,47480484.0,82078616.0,34749884.0,32952136.0,67703130.0,146418100.0,146267300.0,292687740.0
2014,6021.861,34789.16,123.60739,419824000000.0,10.843346,213265280.0,35454260.0,48384704.0,83836856.0,34726530.0,32911492.0,67638700.0,146175380.0,145924300.0,292101100.0
2015,,33408.4,121.82269,769423000000.0,10.023739,213640160.0,36267550.0,49271108.0,85538664.0,34736210.0,32900348.0,67636580.0,145889440.0,145479100.0,291368500.0
2016,,32192.633,122.14492,714186000000.0,9.124778,214618300.0,37089280.0,50063868.0,87152450.0,34691936.0,32849580.0,67541780.0,145654080.0,145136350.0,290790850.0
2017,,31803.797,122.4889,428328000000.0,8.135618,215671500.0,37838290.0,50801132.0,88638590.0,34714260.0,32858412.0,67573010.0,145294510.0,144625630.0,289920640.0
2018,,34469.54,122.73784,71905800000.0,7.2694016,216488450.0,38556690.0,51530044.0,90085970.0,34775124.0,32903910.0,67679350.0,144936900.0,144083630.0,289020960.0
2019,,,,,6.663976,215928200.0,,,,,,,,,
