Año,AG.SRF.TOTL.K2,NY.GNP.ATLS.CD,NY.GNP.PCAP.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.DYN.CONU.ZS,SH.STA.BRTC.ZS,SH.DYN.MORT,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.ENR.PRSC.FM.ZS,AG.LND.FRST.K2,ER.PTD.TOTL.ZS,ER.H2O.FWTL.ZS,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,EG.USE.ELEC.KH.PC,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.KD.ZG,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,GC.REV.XGRT.GD.ZS,IC.REG.DURS,FS.AST.DOMS.GD.ZS,GC.TAX.TOTL.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,TX.VAL.TECH.MF.ZS,IQ.SCI.OVRL,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,DT.DOD.DECT.CD,DT.TDS.DECT.EX.ZS,SM.POP.NETM,BX.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,DT.ODA.ALLD.CD,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.ZS,SL.UEM.TOTL.MA.ZS,SL.TLF.TOTL.IN,SP.POP.65UP.MA.IN,SP.POP.65UP.FE.IN,SP.POP.65UP.TO,SP.POP.0014.MA.IN,SP.POP.0014.FE.IN,SP.POP.0014.TO,SP.POP.1564.MA.IN,SP.POP.1564.FE.IN,SP.POP.1564.TO,SL.TLF.TOTL.FE.ZS
2000,377800.0,4595160000000.0,36230.0,3452930000000.0,27220.0,81.076096,1.359,55.9,99.8,4.5,,,,,248760.0,,,4083.8318,9.622352,8299.409,4887520000000.0,2.7796328,-1.3836856,1.5359992,32.758255,10.624485,9.195168,27.30713,11.504426,,234.13289,10.372257,0.93113613,52.369972,,,17.570467,100.0,,,,773406700.0,10688168000.0,,4.463,4.7,4.86,67652880.0,8956200.0,12587381.0,21543580.0,9625977.0,9126335.0,18752312.0,43707890.0,42839220.0,86547100.0,40.3536
2001,377880.0,4675880000000.0,36770.0,3546350000000.0,27890.0,81.417076,1.33,,99.8,4.3,,,,,248878.0,,,4008.268,9.464309,8162.0146,4303540000000.0,0.4063359,-1.1045169,1.3826063,31.269854,10.229099,9.569029,26.56051,11.025229,,228.37375,9.895928,0.94707984,58.583443,,,17.487562,100.55556,,,,1249546500.0,4926033400.0,,4.703,5.0,5.203,67601016.0,9282301.0,12978169.0,22260296.0,9515389.0,9021855.0,18537284.0,43615250.0,42736040.0,86351420.0,40.556202
2002,377890.0,4434180000000.0,34790.0,3639730000000.0,28560.0,81.563416,1.32,,99.8,4.1,,,,,248996.0,,19.641861,3991.9775,9.573131,8266.099,4115120000000.0,0.11799277,-1.458286,1.3921108,30.539654,11.018221,9.66739,24.655504,10.143818,,225.68822,9.061599,0.9558347,63.426674,,,18.320745,100.987305,,,164199.0,1126867100.0,11557374000.0,,5.159,5.4,5.564,67173000.0,9608821.0,13370380.0,22978948.0,9398422.0,8910849.0,18309332.0,43524230.0,42632296.0,86156720.0,40.524048
2003,377900.0,4479550000000.0,35070.0,3752540000000.0,29380.0,81.76,1.29,,99.8,4.0,,,,,249114.0,,,3953.1846,9.725282,8164.9336,4445660000000.0,1.5282202,-1.6169811,1.3148023,30.415403,11.639294,9.943836,24.397232,9.933941,,227.71191,8.918963,0.95567393,67.66836,,,19.226557,97.67662,,,,811141100.0,8771536000.0,,4.941,5.3,5.546,67065336.0,9936892.0,13766451.0,23703098.0,9283012.0,8800893.0,18083960.0,43419292.0,42511460.0,85930940.0,40.695442
2004,377910.0,4899550000000.0,38350.0,3950150000000.0,30920.0,82.03024,1.29,52.0,99.8,3.9,,,,,249232.0,,,4078.2104,9.909204,8393.258,4815150000000.0,2.2046878,-1.1007359,1.2423282,30.298615,12.972033,10.950324,24.348623,10.351263,,223.38338,9.3526945,0.94160765,71.35024,,,21.187653,92.40564,,,,773574700.0,7527948300.0,,4.404,4.7,4.904,66725256.0,10251173.0,14148188.0,24399196.0,9167575.0,8690637.0,17858252.0,43215630.0,42287796.0,85503550.0,40.852814
2005,377910.0,5182640000000.0,40560.0,4133440000000.0,32350.0,81.925125,1.26,54.3,99.8,3.7,,,,,249350.0,,,4062.979,9.698882,8539.011,4755410000000.0,1.6626704,-1.0374347,1.1253637,30.199389,14.012441,12.503053,24.749472,11.3754,,220.8157,10.137012,0.9315817,75.18657,,,23.358803,83.23281,,,,904981250.0,5459618300.0,,4.166,4.4,4.563,66734012.0,10568710.0,14541693.0,25110400.0,9072012.0,8598839.0,17670854.0,42973812.0,42017936.0,84991740.0,40.997967
2006,377920.0,5105060000000.0,39930.0,4341520000000.0,33960.0,82.32195,1.32,,99.8,3.6,,,,,249412.0,,,4053.8835,9.632049,8542.479,4530380000000.0,1.4200065,-0.8833778,1.0942916,29.982594,15.872902,14.458879,24.748629,11.839401,,214.69084,10.512741,0.91719705,77.732346,,,27.057106,75.42373,,,,1176988400.0,-2396909800.0,,3.867,4.1,4.263,66802056.0,10885517.0,14912658.0,25797976.0,8983847.0,8515507.0,17499392.0,42759264.0,41797210.0,84556630.0,41.12442
2007,377930.0,4959300000000.0,38740.0,4548810000000.0,35540.0,82.50707,1.34,,99.8,3.5,,,,,249474.0,,19.244186,4012.6543,9.782964,8710.025,4515260000000.0,1.6541839,-0.7294798,1.0609038,29.882496,17.493317,15.600572,24.483448,11.4836855,,208.14392,10.106186,0.89762664,83.536156,20.1055,,29.601145,71.658455,,,277580.0,1383930600.0,21631205000.0,,3.78,3.9,3.984,67143470.0,11201906.0,15291655.0,26493152.0,8928017.0,8463087.0,17391196.0,42545550.0,41570784.0,84116660.0,41.119396
2008,377940.0,4975180000000.0,38850.0,4573200000000.0,35710.0,82.58756,1.37,,99.8,3.4,,,,,249536.0,,,3858.4346,9.449534,8270.008,5037910000000.0,-1.0935405,-0.9808954,1.0584086,29.005291,17.424038,16.974983,24.547848,10.27964,,214.6359,8.931592,0.92024785,85.884674,18.866322,,30.646566,62.00847,,,,1732378900.0,24624845000.0,,3.823,4.0,4.125,67100796.0,11520347.0,15675525.0,27195328.0,8883347.0,8421074.0,17304542.0,42278070.0,41284636.0,83563130.0,41.25955
2009,377947.0,4967600000000.0,38800.0,4354890000000.0,34010.0,82.931465,1.37,,99.8,3.3,,,,,249598.0,,,3678.5112,8.620816,8020.274,5231380000000.0,-5.416413,-0.6112726,1.0826128,27.272467,12.520914,11.969986,21.323675,9.511686,,234.61511,8.368911,0.98377734,90.46339,20.58591,,21.65202,74.37145,,,,1594532200.0,12226472000.0,,4.808,5.1,5.308,66914280.0,11864448.0,16087526.0,27951520.0,8834377.0,8374067.0,17208544.0,41952990.0,40933588.0,82886936.0,41.591816
2010,377950.0,5562860000000.0,43440.0,4596530000000.0,35890.0,82.84268,1.39,,99.8,3.2,,,,,249660.0,,,3893.2666,9.148316,8594.909,5700100000000.0,4.191739,-1.8951635,1.1022599,28.444607,15.0367565,13.576251,21.297485,9.868055,,232.53201,8.809785,0.95885134,95.911674,19.164022,,25.68084,67.72607,,,,1684469000.0,7440979500.0,,4.631,5.1,5.436,66663144.0,12257292.0,16555986.0,28813280.0,8781659.0,8321810.0,17103468.0,41604516.0,40548736.0,82153250.0,41.734337
2011,377955.0,5992370000000.0,46880.0,4702730000000.0,36790.0,82.59122,1.39,,99.8,3.4,,,,,249644.0,,,3610.8123,9.317427,8099.5986,6157460000000.0,-0.11542134,-1.6743258,1.075419,26.881708,14.924996,15.468007,22.1033,10.428981,,238.82059,9.356818,0.9868063,103.31688,18.431337,,27.260658,61.59803,,,,2131729300.0,-850717060.0,,4.139,4.521,4.795,66043052.0,12640688.0,16963836.0,29603888.0,8732166.0,8277190.0,17009492.0,41137820.0,40081296.0,81219624.0,41.765232
2012,377960.0,6315110000000.0,49480.0,4873840000000.0,38190.0,83.0961,1.41,,99.8,3.0,,,,,249628.0,,18.888372,3537.3633,9.638628,7998.3467,6203210000000.0,1.4950895,-0.76155496,1.1417958,26.74805,14.544752,16.091372,22.654423,10.757133,,245.17584,9.682413,0.9674271,109.89359,18.30272,,27.153847,60.458553,,,358133.0,2539577600.0,546962700.0,,3.955,4.3,4.549,65639410.0,13061619.0,17414552.0,30475172.0,8675816.0,8225217.0,16901252.0,40659104.0,39592692.0,80252580.0,41.93683
2013,377962.0,6152740000000.0,48280.0,5133800000000.0,40280.0,83.331955,1.43,,,2.9,,,,,249612.0,,,3567.6294,9.780815,7988.5835,5155720000000.0,2.0002677,-0.333177,1.1041871,26.937634,15.915398,18.232124,23.19091,11.540087,11.6,251.93747,10.360618,0.95086586,115.25427,17.82179,,30.030024,59.01943,,,,2363853300.0,10648442000.0,,3.658,4.0,4.251,65970040.0,13497300.0,17887816.0,31384096.0,8613124.0,8165949.0,16779296.0,40183780.0,39097030.0,79281610.0,42.348606
2014,377962.0,5593500000000.0,43950.0,5166030000000.0,40590.0,83.58781,1.42,54.7,99.8,2.8,,,,,249596.0,,,3470.7632,9.538706,7819.715,4850410000000.0,0.37471947,1.7453142,1.0562665,27.68806,17.540302,20.005468,23.9161,12.510548,11.1,257.0989,11.469207,0.96699935,123.16319,17.7885,,30.974905,58.44425,,,,3733912600.0,19752250000.0,,3.426,3.6,3.729,66175616.0,13914095.0,18350684.0,32264096.0,8547248.0,8102183.0,16649583.0,39739204.0,38622584.0,78362320.0,42.59073
2015,377971.0,4937690000000.0,38840.0,5333310000000.0,41950.0,83.7939,1.45,39.8,99.9,3.0,,,,,249580.0,,,3428.5571,,,4389480000000.0,1.222921,2.1453967,1.1139054,29.019623,17.610975,18.030045,24.022669,12.626727,11.2,258.7323,11.423572,0.95805043,125.451866,18.07004,,29.002052,66.666664,,,,3325098000.0,5252218400.0,,3.113,3.4,3.615,66363530.0,14294734.0,18786504.0,33081240.0,8479674.0,8035159.0,16514831.0,39349870.0,38195060.0,77544930.0,42.805164
2016,377970.0,4811000000000.0,37880.0,5250730000000.0,41350.0,83.98488,1.44,,,2.7,,,,,249564.0,2.0918362,,,,,4926670000000.0,0.6090932,0.26758042,1.2110755,28.90521,16.252764,15.262608,23.407404,12.294211,11.1,271.73154,11.154965,0.9395826,130.59525,17.339836,,25.42855,72.32855,,,,3830448600.0,40954180000.0,,2.814,3.1,3.317,66850744.0,14634284.0,19136532.0,33770148.0,8420062.0,7980334.0,16400528.0,38988696.0,37834600.0,76823830.0,43.110947
2017,377970.0,4877470000000.0,38470.0,5362180000000.0,42290.0,84.099754,1.43,,,2.6,,,,,,10.026289,,,,,4859950000000.0,1.9287573,-0.22008477,1.1892569,29.144106,17.774227,16.839334,23.902985,12.82526,11.1,278.1189,11.641947,0.93076813,135.51866,17.560463,,28.198332,68.68033,,,357800.0,4443029000.0,18802252000.0,,2.635,2.8,2.927,67288380.0,14930064.0,19441928.0,34370970.0,8340585.0,7906038.0,16246827.0,38661364.0,37505816.0,76168000.0,43.50272
2018,377970.0,5226600000000.0,41310.0,5441910000000.0,43010.0,84.210976,1.42,,,2.5,,,,,,10.026289,,,,,4971320000000.0,0.7884559,-0.08566228,,,18.448298,18.192863,24.413548,13.089023,11.1,281.39835,11.866378,0.9238395,141.407,17.267689,,29.90413,64.727516,,,,4369453600.0,24605911000.0,,2.178,2.4,2.574,68358370.0,15185127.0,19708026.0,34892132.0,8247185.0,7817817.0,16065209.0,38365440.0,37205508.0,75571760.0,43.935863
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,4373840000.0,37176830000.0,,2.145,2.291,2.406,68048590.0,,,,,,,,,,44.024155
