Año,Consumo_electrico_PC,INB_ATLAS_PC,Penetracion_Celular_100,Inversion_Extranjera,Desempleo,Poblacion_Activa,Pob_mayor_65_Hombre,Pob_mayor_65_Mujer,Pob_mayor_65_Total,Pob_0_14_Hombre,Pob_0_14_Mujer,Pob_0_14_Total,Pob_15_64_Hombre,Pob_15_64_Mujer,Pob_15_64_Total
2000,8299.409,36230.0,52.369972,10688168000.0,4.7,67652880.0,8956200.0,12587381.0,21543580.0,9625977.0,9126335.0,18752312.0,43707890.0,42839220.0,86547100.0
2001,8162.0146,36770.0,58.583443,4926033400.0,5.0,67601016.0,9282301.0,12978169.0,22260296.0,9515389.0,9021855.0,18537284.0,43615250.0,42736040.0,86351420.0
2002,8266.099,34790.0,63.426674,11557374000.0,5.4,67173000.0,9608821.0,13370380.0,22978948.0,9398422.0,8910849.0,18309332.0,43524230.0,42632296.0,86156720.0
2003,8164.9336,35070.0,67.66836,8771536000.0,5.3,67065336.0,9936892.0,13766451.0,23703098.0,9283012.0,8800893.0,18083960.0,43419292.0,42511460.0,85930940.0
2004,8393.258,38350.0,71.35024,7527948300.0,4.7,66725256.0,10251173.0,14148188.0,24399196.0,9167575.0,8690637.0,17858252.0,43215630.0,42287796.0,85503550.0
2005,8539.011,40560.0,75.18657,5459618300.0,4.4,66734012.0,10568710.0,14541693.0,25110400.0,9072012.0,8598839.0,17670854.0,42973812.0,42017936.0,84991740.0
2006,8542.479,39930.0,77.732346,-2396909800.0,4.1,66802056.0,10885517.0,14912658.0,25797976.0,8983847.0,8515507.0,17499392.0,42759264.0,41797210.0,84556630.0
2007,8710.025,38740.0,83.536156,21631205000.0,3.9,67143470.0,11201906.0,15291655.0,26493152.0,8928017.0,8463087.0,17391196.0,42545550.0,41570784.0,84116660.0
2008,8270.008,38850.0,85.884674,24624845000.0,4.0,67100796.0,11520347.0,15675525.0,27195328.0,8883347.0,8421074.0,17304542.0,42278070.0,41284636.0,83563130.0
2009,8020.274,38800.0,90.46339,12226472000.0,5.1,66914280.0,11864448.0,16087526.0,27951520.0,8834377.0,8374067.0,17208544.0,41952990.0,40933588.0,82886936.0
2010,8594.909,43440.0,95.911674,7440979500.0,5.1,66663144.0,12257292.0,16555986.0,28813280.0,8781659.0,8321810.0,17103468.0,41604516.0,40548736.0,82153250.0
2011,8099.5986,46880.0,103.31688,-850717060.0,4.521,66043052.0,12640688.0,16963836.0,29603888.0,8732166.0,8277190.0,17009492.0,41137820.0,40081296.0,81219624.0
2012,7998.3467,49480.0,109.89359,546962700.0,4.3,65639410.0,13061619.0,17414552.0,30475172.0,8675816.0,8225217.0,16901252.0,40659104.0,39592692.0,80252580.0
2013,7988.5835,48280.0,115.25427,10648442000.0,4.0,65970040.0,13497300.0,17887816.0,31384096.0,8613124.0,8165949.0,16779296.0,40183780.0,39097030.0,79281610.0
2014,7819.715,43950.0,123.16319,19752250000.0,3.6,66175616.0,13914095.0,18350684.0,32264096.0,8547248.0,8102183.0,16649583.0,39739204.0,38622584.0,78362320.0
2015,,38840.0,125.451866,5252218400.0,3.4,66363530.0,14294734.0,18786504.0,33081240.0,8479674.0,8035159.0,16514831.0,39349870.0,38195060.0,77544930.0
2016,,37880.0,130.59525,40954180000.0,3.1,66850744.0,14634284.0,19136532.0,33770148.0,8420062.0,7980334.0,16400528.0,38988696.0,37834600.0,76823830.0
2017,,38470.0,135.51866,18802252000.0,2.8,67288380.0,14930064.0,19441928.0,34370970.0,8340585.0,7906038.0,16246827.0,38661364.0,37505816.0,76168000.0
2018,,41310.0,141.407,24605911000.0,2.4,68358370.0,15185127.0,19708026.0,34892132.0,8247185.0,7817817.0,16065209.0,38365440.0,37205508.0,75571760.0
2019,,,,37176830000.0,2.291,68048590.0,,,,,,,,,
