Año,AG.SRF.TOTL.K2,NY.GNP.ATLS.CD,NY.GNP.PCAP.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.DYN.CONU.ZS,SH.STA.BRTC.ZS,SH.DYN.MORT,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.ENR.PRSC.FM.ZS,AG.LND.FRST.K2,ER.PTD.TOTL.ZS,ER.H2O.FWTL.ZS,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,EG.USE.ELEC.KH.PC,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.KD.ZG,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,GC.REV.XGRT.GD.ZS,IC.REG.DURS,FS.AST.DOMS.GD.ZS,GC.TAX.TOTL.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,TX.VAL.TECH.MF.ZS,IQ.SCI.OVRL,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,DT.DOD.DECT.CD,DT.TDS.DECT.EX.ZS,SM.POP.NETM,BX.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,DT.ODA.ALLD.CD,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.ZS,SL.UEM.TOTL.MA.ZS,SL.TLF.TOTL.IN,SP.POP.65UP.MA.IN,SP.POP.65UP.FE.IN,SP.POP.65UP.TO,SP.POP.0014.MA.IN,SP.POP.0014.FE.IN,SP.POP.0014.TO,SP.POP.1564.MA.IN,SP.POP.1564.FE.IN,SP.POP.1564.TO,SL.TLF.TOTL.FE.ZS
2000,131606510.0,3.35619e13,5489.008,4.8562e13,7942.252,67.549255,2.6960208,60.24049,62.682083,76.4,81.77908,98.7694,59.93148,0.92124,40556024.0,,,1636.703,4.037999,2386.7188,3.35886e13,4.3835597,4.493795,4.8586984,29.023523,26.025888,25.103195,24.53954,24.397833,,108.478004,15.663706,2.1654544,12.042653,,,39.032524,100.0,,,,121770000000.0,1569120000000.0,55205400000.0,5.941916,5.7739983,5.664301,2760410600.0,182952450.0,237176350.0,420128860.0,949936800.0,893280450.0,1843217300.0,1944338000.0,1904116600.0,3848454700.0,39.493477
2001,131606904.0,3.38481e13,5464.886,5.09395e13,8224.351,67.8218,2.6663103,,,73.8,82.60549,99.56456,60.34813,0.92497,40510304.0,,,1635.9612,4.080992,2380.3367,3.33968e13,1.949645,3.7225325,4.768662,28.228691,25.313435,24.666903,24.041353,24.219294,,111.419525,15.260245,2.1997807,15.4781,,,37.78966,98.25592,,,,132149000000.0,895500000000.0,56140800000.0,5.987989,5.8539543,5.766383,2797040600.0,188218660.0,242573150.0,430789730.0,951979500.0,894521200.0,1846494800.0,1977317400.0,1936530600.0,3913856000.0,39.47471
2002,131607330.0,3.4018e13,5423.078,5.33436e13,8503.934,68.07043,2.6437044,,,71.1,83.26699,99.84207,61.20136,0.92742,40464584.0,,,1648.7083,4.0885954,2435.101,3.4675e13,2.1767933,3.4636157,4.658765,27.845123,25.300398,24.331085,23.458948,23.426933,,112.28906,14.370946,2.302296,18.516323,,,38.019966,100.39569,,,0.0,153024000000.0,755583000000.0,65917980000.0,6.241445,6.113163,6.02956,2838913000.0,193541300.0,248226000.0,441763970.0,951337860.0,892966460.0,1844294900.0,2012899000.0,1971223400.0,3984135200.0,39.475697
2003,131607730.0,3.69971e13,5824.5054,5.62994e13,8863.304,68.32699,2.6248446,,,68.4,84.00906,101.3847,62.19312,0.94474,40418864.0,,,1687.9186,4.258176,2500.4856,3.89037e13,2.9569528,3.933545,4.5269275,27.909407,25.834091,24.972656,23.92228,23.104828,51.5097,113.92431,14.169012,2.361501,22.220385,,,39.57897,108.96903,,,,188325000000.0,737213000000.0,76113930000.0,6.368003,6.188534,6.071535,2883822000.0,198763470.0,253971700.0,452731700.0,949166200.0,889858370.0,1839014800.0,2050234000.0,2007338800.0,4057586000.0,39.5092
2004,131605870.0,4.26845e13,6636.6216,6.08959e13,9468.131,68.65234,2.608569,,,65.9,84.54358,101.8789,63.1664,0.94585,40373144.0,,,1739.2551,4.4146543,2578.3528,4.38175e13,4.4012947,5.5996494,4.430947,28.267927,27.504555,26.606241,24.781769,23.129591,48.460415,112.58714,14.30546,2.3605525,27.291502,,,42.785225,113.976814,,,,216369000000.0,1010430000000.0,86086150000.0,6.270257,6.015972,5.8501744,2932247000.0,203579410.0,259457920.0,463035040.0,947539300.0,887364900.0,1834897800.0,2087738600.0,2043337200.0,4131084500.0,39.48706
2005,131607830.0,4.78895e13,7354.1543,6.56034e13,10074.389,68.92033,2.5880117,,,63.0,85.33132,102.1933,64.09655,0.95044,40327428.0,,,1766.4741,4.5286374,2656.1484,4.74577e13,3.9133022,5.781252,4.0575027,28.594322,28.642,27.582739,25.024008,22.611626,50.720245,112.07772,14.429747,2.362821,33.75717,,,44.996895,115.00161,,,,253076000000.0,1563480000000.0,107131000000.0,6.1752324,5.9012985,5.7223454,2978118100.0,207872750.0,264534260.0,472407100.0,947552200.0,886624830.0,1834177000.0,2124394100.0,2078256600.0,4202650600.0,39.503036
2006,131608170.0,5.17271e13,7845.8574,7.22094e13,10952.568,69.26243,2.5771294,,,60.4,85.80875,102.2821,65.28465,0.95423,40293290.0,,,1796.0009,4.636507,2732.4248,5.14479e13,4.377542,5.510095,3.8084142,28.84269,29.840134,28.630491,25.499487,23.14464,47.843113,112.7579,14.826512,2.3280811,41.553146,,,47.75756,115.86633,,,,293234000000.0,2202600000000.0,105529000000.0,5.8536305,5.5940576,5.4252253,3014743300.0,212957360.0,269942100.0,482896160.0,949437950.0,887674430.0,1837112300.0,2158768400.0,2111453600.0,4270225400.0,39.414394
2007,131608210.0,5.58169e13,8362.794,7.80252e13,11690.168,69.59208,2.5671282,,,57.9,86.78066,103.0563,66.9504,0.95847,40259148.0,,,1823.3936,4.671637,2822.0781,5.79681e13,4.3190684,5.440702,3.7649398,28.58832,30.092232,28.97449,25.876621,23.95759,43.311176,115.29094,14.981578,2.2929747,50.25003,20.503605,,48.94929,120.21576,,,0.0,350397000000.0,3135870000000.0,106658000000.0,5.5866923,5.3535132,5.2020597,3054910500.0,217597600.0,274996260.0,492589380.0,952666300.0,890214900.0,1842883800.0,2192472000.0,2143773700.0,4336247300.0,39.372364
2008,131807670.0,6.04966e13,8952.928,8.24213e13,12197.575,69.8993,2.5550652,,,55.6,88.33477,103.4182,68.57447,0.9652,40225010.0,,,1828.9882,4.7625737,2843.368,6.36104e13,1.8501153,7.8197656,3.7410603,28.421234,30.759892,30.139017,25.702154,23.05998,39.946785,119.18722,14.416752,2.3593802,59.359978,19.511456,,51.476273,123.794174,,,,404899000000.0,2478030000000.0,124677000000.0,5.476178,5.352536,5.272462,3090361000.0,222107020.0,280057570.0,502160400.0,957118850.0,894101600.0,1851226000.0,2225661000.0,2175412200.0,4401072000.0,39.261795
2009,131805350.0,6.14418e13,8982.86,8.31847e13,12161.704,70.24658,2.5342915,,,53.2,89.02232,103.3007,69.39923,0.97221,40190868.0,,,1795.5094,4.662633,2793.8694,6.03343e13,-1.6783892,2.3684573,3.6848414,26.717976,26.561615,25.852339,23.477865,21.751152,37.72849,126.16586,13.179633,2.5880342,67.47875,21.171783,,41.988934,121.30643,,,,388398000000.0,1446870000000.0,124451000000.0,6.092388,6.003152,5.945782,3123387100.0,226798880.0,285514660.0,512310750.0,961941800.0,898428900.0,1860376000.0,2258177800.0,2206281500.0,4464457000.0,39.221348
