Año,Consumo_electrico_PC,INB_ATLAS_PC,Penetracion_Celular_100,Inversion_Extranjera,Desempleo,Poblacion_Activa,Pob_mayor_65_Hombre,Pob_mayor_65_Mujer,Pob_mayor_65_Total,Pob_0_14_Hombre,Pob_0_14_Mujer,Pob_0_14_Total,Pob_15_64_Hombre,Pob_15_64_Mujer,Pob_15_64_Total
2000,13671.052,35960.0,38.861835,349125000000.0,3.992,146729570.0,14414059.0,20387124.0,34801176.0,31330276.0,29907092.0,61237370.0,93239650.0,92884216.0,186123870.0
2001,13046.614,36710.0,45.149822,172496000000.0,4.731,147698380.0,14620751.0,20469860.0,35090876.0,31396354.0,29953328.0,61349550.0,94410730.0,94117940.0,188528530.0
2002,13296.183,37310.0,49.359627,111055000000.0,5.783,148526030.0,14818992.0,20534404.0,35353640.0,31501156.0,30039940.0,61540960.0,95474910.0,95255790.0,190730600.0
2003,13307.492,39770.0,55.42732,117106000000.0,5.989,149140820.0,15016619.0,20601784.0,35618524.0,31584884.0,30115848.0,61700652.0,96471064.0,96317736.0,192788750.0
2004,13388.59,43510.0,63.217396,213641000000.0,5.529,150211570.0,15239541.0,20724462.0,35964060.0,31622792.0,30158888.0,61781644.0,97587330.0,97472290.0,195059580.0
2005,13704.577,46190.0,69.05237,142344000000.0,5.083,152071970.0,15480384.0,20902768.0,36383150.0,31577348.0,30129872.0,61707216.0,98768470.0,98657750.0,197426220.0
2006,13583.267,47880.0,77.109344,298463000000.0,4.623,153931100.0,15790766.0,21152004.0,36942170.0,31782380.0,30332736.0,62115320.0,99695550.0,99626470.0,199322430.0
2007,13657.453,48500.0,82.93181,346613000000.0,4.622,155224880.0,16118061.0,21452008.0,37569160.0,31886002.0,30438116.0,62324460.0,100693340.0,100643670.0,201337580.0
2008,13663.428,48980.0,86.09952,341092000000.0,5.784,157006860.0,16483342.0,21818560.0,38300984.0,31928302.0,30486116.0,62414796.0,101717390.0,101660260.0,203378190.0
2009,12913.715,47730.0,89.54496,161083000000.0,9.254,157109260.0,16901412.0,22251372.0,39152172.0,31946372.0,30509792.0,62456436.0,102625730.0,102536856.0,205162930.0
2010,13395.14,48990.0,92.26777,264039000000.0,9.633,156903440.0,17391872.0,22763564.0,40155436.0,31967004.0,30530820.0,62497824.0,103405230.0,103263176.0,206668400.0
2011,13247.013,50570.0,95.44904,263497000000.0,8.949,156975330.0,17962744.0,23320072.0,41282104.0,31898118.0,30491300.0,62389680.0,104049470.0,103835170.0,207885090.0
2012,12966.116,52770.0,97.068596,250345000000.0,8.069,158636200.0,18603482.0,23957268.0,42559976.0,31801548.0,30409424.0,62211250.0,104679560.0,104379704.0,209059760.0
2013,13006.749,53950.0,98.197685,288131000000.0,7.375,158755710.0,19289958.0,24649584.0,43939064.0,31687668.0,30300804.0,61988640.0,105229770.0,104835940.0,210066020.0
2014,12997.448,55850.0,111.55621,251856000000.0,6.168,159532060.0,20015668.0,25398692.0,45414230.0,31593584.0,30208460.0,61802096.0,105788450.0,105296150.0,211084690.0
2015,,56740.0,119.14392,509087000000.0,5.28,160596350.0,20761868.0,26188372.0,46950236.0,31510030.0,30127998.0,61638028.0,106319960.0,105726936.0,212046900.0
2016,,57180.0,122.59455,494439000000.0,4.869,162547570.0,21550046.0,26999912.0,48549960.0,31404868.0,30029420.0,61434230.0,106806370.0,106150696.0,212957120.0
2017,,59060.0,123.04484,354649000000.0,4.355,164268060.0,22314476.0,27796212.0,50110708.0,31327678.0,29959876.0,61287490.0,107149700.0,106437600.0,213587340.0
2018,,63170.0,129.014,258390000000.0,3.896,165483020.0,23058936.0,28582660.0,51641630.0,31239420.0,29880716.0,61120096.0,107346580.0,106579200.0,213925780.0
2019,,,,310811000000.0,3.682,166082830.0,,,,,,,,,
