appid,windows,mac,linux
10,1,1,1
20,1,1,1
30,1,1,1
40,1,1,1
50,1,1,1
60,1,1,1
70,1,1,1
80,1,1,1
130,1,1,1
220,1,1,1
240,1,1,1
280,1,1,1
300,1,1,1
320,1,1,1
340,1,1,1
360,1,1,1
380,1,1,1
400,1,1,1
420,1,1,1
440,1,1,1
500,1,1,0
550,1,1,1
570,1,1,1
620,1,1,1
630,1,0,0
730,1,1,1
1002,1,0,0
1200,1,1,1
1250,1,1,1
1300,1,0,0
1500,1,1,1
1510,1,1,1
1520,1,1,1
1530,1,1,0
1600,1,0,0
1610,1,0,0
1630,1,0,0
1640,1,0,0
1670,1,0,0
1690,1,0,0
1700,1,0,0
1840,1,0,0
1900,1,1,1
1930,1,1,1
2100,1,0,0
2200,1,0,0
2210,1,0,0
2270,1,0,0
2280,1,0,0
2290,1,0,0
2300,1,0,0
2310,1,0,0
2320,1,0,0
2330,1,0,0
2340,1,0,0
2350,1,0,0
2360,1,0,0
2370,1,0,0
2390,1,0,0
2400,1,0,0
2450,1,0,0
2500,1,1,0
2520,1,0,0
2590,1,0,0
2600,1,0,0
2610,1,0,0
2620,1,0,0
2630,1,1,0
2640,1,0,0
2710,1,0,0
2720,1,0,0
2780,1,0,0
2800,1,0,0
2810,1,1,1
2820,1,1,1
2840,1,0,0
2850,1,0,0
2870,1,1,1
2900,1,0,0
2910,1,0,0
2920,1,0,0
2990,1,0,0
3010,1,0,0
3020,1,0,0
3050,1,0,0
3130,1,0,0
3170,1,1,0
3230,1,0,0
3260,1,0,0
3270,1,0,0
3330,1,1,0
3410,1,0,0
3480,1,1,0
3483,1,0,0
3490,1,0,0
3500,1,0,0
3510,1,0,0
3520,1,0,0
3530,1,0,0
3540,1,1,0
3560,1,0,0
3570,1,0,0
3580,1,0,0
3590,1,1,0
3600,1,1,0
3610,1,0,0
3620,1,0,0
3700,1,0,0
3710,1,0,0
3720,1,0,0
3730,1,0,0
3800,1,0,0
3810,1,0,0
3820,1,0,0
3830,1,1,1
3900,1,1,0
3910,1,0,0
3920,1,0,0
3960,1,0,0
3980,1,0,0
3990,1,1,0
4000,1,1,1
4100,1,0,0
4230,1,0,0
4290,1,0,0
4300,1,0,0
4420,1,0,0
4460,1,0,0
4470,1,0,0
4500,1,0,0
4520,1,0,0
4530,1,0,0
4560,1,0,0
4570,1,0,0
4580,1,0,0
4700,1,1,1
4720,1,0,0
4760,1,0,0
4770,1,0,0
4780,1,1,1
4800,1,0,0
4850,1,0,0
4870,1,0,0
4880,1,0,0
4890,1,0,0
4900,1,0,0
4920,1,0,1
6000,1,0,0
6010,1,1,0
6020,1,1,0
6030,1,1,0
6040,1,1,0
6060,1,0,0
6080,1,0,0
6090,1,0,0
6120,1,1,1
6200,1,0,0
6210,1,0,0
6220,1,0,0
6250,1,0,0
6270,1,0,0
6300,1,0,0
6310,1,0,0
6370,1,0,0
6400,1,0,0
6420,1,0,0
6510,1,0,0
6550,1,0,0
6800,1,0,0
6810,1,0,0
6830,1,0,0
6840,1,0,0
6850,1,0,0
6860,1,0,0
6870,1,0,0
6880,1,0,0
6900,1,0,0
6910,1,0,0
6920,1,0,0
6980,1,0,0
7000,1,0,0
7010,1,0,0
7020,1,0,0
7110,1,0,0
7200,1,0,0
7210,1,0,0
7220,1,0,0
7260,1,0,0
7340,1,0,0
7510,1,1,1
7520,1,1,0
7530,1,1,0
7600,1,1,0
7610,1,0,0
7620,1,0,0
7650,1,0,0
7660,1,0,0
7730,1,0,0
7760,1,0,0
7770,1,0,0
7830,1,0,0
7840,1,0,0
7860,1,0,0
7940,1,1,0
8000,1,0,0
8080,1,0,0
8100,1,0,0
8140,1,0,0
8170,1,0,0
8190,1,0,0
8310,1,0,0
8320,1,0,0
