PLATAFORMA,N_America,Europa,Japon,Otros,Total
PS2,572.33,331.92,136.81,189.7,1230.51
X360,578.71,260.42,12.03,82.83,934.04
PS3,377.37,314.77,77.33,128.55,897.69
Wii,489.26,259.33,68.94,78.76,896.09
DS,370.29,184.51,170.4,58.71,783.58
PS,325.0,206.92,135.26,40.17,706.81
GBA,185.32,74.39,47.02,8.58,315.02
PS4,107.85,139.61,15.62,48.13,311.14
PSP,105.44,63.78,74.93,39.86,283.93
3DS,82.81,61.03,99.81,13.42,257.01
PC,92.18,139.27,0.17,22.73,254.27
XB,183.69,60.1,1.33,9.45,254.17
NES,124.67,20.78,97.64,5.25,248.37
GB,111.27,46.34,80.58,7.95,246.1
N64,138.15,40.91,34.13,4.46,217.65
SNES,60.98,18.98,115.0,3.2,198.16
GC,130.62,38.04,21.15,5.77,195.27
XOne,91.68,50.39,0.34,14.19,156.61
2600,82.41,4.98,0.0,0.98,88.3
WiiU,38.07,25.14,13.01,5.98,82.11
PSV,12.51,13.04,21.15,6.45,53.14
SAT,0.72,0.54,31.86,0.08,33.19
GEN,18.3,5.15,2.64,0.84,26.95
DC,4.91,1.45,7.9,0.24,14.51
SCD,1.0,0.36,0.45,0.06,1.87
NG,0.0,0.0,1.44,0.0,1.44
WS,0.0,0.0,1.42,0.0,1.42
TG16,0.0,0.0,0.16,0.0,0.16
3DO,0.0,0.0,0.1,0.0,0.1
GG,0.0,0.0,0.04,0.0,0.04
PCFX,0.0,0.0,0.03,0.0,0.03
