Año,AG.SRF.TOTL.K2,NY.GNP.ATLS.CD,NY.GNP.PCAP.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.DYN.CONU.ZS,SH.STA.BRTC.ZS,SH.DYN.MORT,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.ENR.PRSC.FM.ZS,AG.LND.FRST.K2,ER.PTD.TOTL.ZS,ER.H2O.FWTL.ZS,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,EG.USE.ELEC.KH.PC,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.KD.ZG,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,GC.REV.XGRT.GD.ZS,IC.REG.DURS,FS.AST.DOMS.GD.ZS,GC.TAX.TOTL.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,TX.VAL.TECH.MF.ZS,IQ.SCI.OVRL,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,DT.DOD.DECT.CD,DT.TDS.DECT.EX.ZS,SM.POP.NETM,BX.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,DT.ODA.ALLD.CD,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.ZS,SL.UEM.TOTL.MA.ZS,SL.TLF.TOTL.IN,SP.POP.65UP.MA.IN,SP.POP.65UP.FE.IN,SP.POP.65UP.TO,SP.POP.0014.MA.IN,SP.POP.0014.FE.IN,SP.POP.0014.TO,SP.POP.1564.MA.IN,SP.POP.1564.FE.IN,SP.POP.1564.TO,SL.TLF.TOTL.FE.ZS
2000,9632030.0,1.01476e18,35960.0,1.03839e18,36800.0,7603659000.0,2056.0,0.0,990.0,80.0,0.0,0.0,0.0,0.0,3035360.0,0.0,0.0,805606400.0,2007875100.0,1367105200.0,1.02523e18,4027484000.0,2035474400.0,1050456400.0,2205438700.0,1009272400.0,1405091100.0,2307515000.0,2007334100.0,0.0,8107074600.0,1206903300.0,2033440300.0,3806183700.0,0.0,0.0,1900976600.0,100.0,0.0,0.0,0.0,4395000000.0,3.09125e16,0.0,4100000000.0,3092000000.0,3001000000.0,146729570.0,14414059.0,20387124.0,34801176.0,31330276.0,29907092.0,61237370.0,93239650.0,92884216.0,186123870.0,4506264600.0
2001,9632030.0,1.04622e18,36710.0,1.07437e18,37700.0,7603659000.0,20305.0,0.0,990.0,80.0,0.0,0.0,0.0,0.0,3037801000.0,0.0,0.0,7827086300.0,1903650600.0,1304601500.0,1.05818e18,98340790.0,2093425300.0,1029325500.0,2107399200.0,908298300.0,1305997400.0,2207694800.0,1901505700.0,0.0,8602982000.0,1105782500.0,2044343400.0,4504982000.0,0.0,0.0,180335680.0,1020979260.0,0.0,0.0,0.0,4513000000.0,1.02496e16,0.0,4053000000.0,4031000000.0,4097000000.0,147698380.0,14620751.0,20469860.0,35090876.0,31396354.0,29953328.0,61349550.0,94410730.0,94117940.0,188528530.0,450214900.0
2002,9632030.0,1.07327e18,37310.0,1.00543e18,38430.0,7603659000.0,20205.0,720.0,990.0,80.0,0.0,0.0,0.0,0.0,3040244000.0,0.0,1600269700.0,7843045000.0,1901340400.0,132960824.0,1.09364e18,104169530.0,1081763000.0,70430940.0,2004126100.0,903224900.0,1302202200.0,2100813800.0,1708329700.0,0.0,8802729000.0,9061420000.0,3049548500.0,4905962500.0,0.0,0.0,1701218400.0,104057064.0,0.0,0.0,5334893.0,4570000000.0,1.01055e16,0.0,5010000400.0,5083000000.0,5028999700.0,148526030.0,14818992.0,20534404.0,35353640.0,31501156.0,30039940.0,61540960.0,95474910.0,95255790.0,190730600.0,4507336700.0
2003,9632030.0,1.05364e18,39770.0,1.05303e18,39740.0,7703658500.0,20475.0,0.0,990.0,80.0,0.0,0.0,0.0,0.0,3042685000.0,0.0,0.0,779403600.0,1906410500.0,1330709200.0,1.04582e18,2061210800.0,1057095230.0,101525740.0,2003930800.0,9043070000.0,130340300.0,2104222300.0,160824450.0,0.0,8907768000.0,9089223000.0,300728640.0,5502732300.0,0.0,0.0,1709748500.0,1020895740.0,0.0,0.0,0.0,4672000000.0,1.07106e16,0.0,5060999700.0,5089000000.0,6066000000.0,149140820.0,15016619.0,20601784.0,35618524.0,31584884.0,30115848.0,61700652.0,96471064.0,96317736.0,192788750.0,4502367000.0
2004,9632030.0,1.07405e18,43510.0,1.0314e17,42060.0,7708780500.0,20515.0,0.0,990.0,80.0,0.0,0.0,0.0,0.0,3045128000.0,0.0,0.0,7881079000.0,1905837000.0,1338809000.0,1.02137e18,3098891000.0,2092212100.0,105866010.0,2006034400.0,9041863000.0,14010544.0,2205857500.0,1605159000.0,0.0,8902956000.0,9040178000.0,3085571000.0,6301739500.0,0.0,0.0,1906331100.0,1010707700.0,0.0,0.0,0.0,4734000000.0,2.03641e16,0.0,5097000000.0,5028999700.0,5040000000.0,150211570.0,15239541.0,20724462.0,35964060.0,31622792.0,30158888.0,61781644.0,97587330.0,97472290.0,195059580.0,4505483000.0
2005,9632030.0,1.06514e18,46190.0,1.01697e18,44570.0,7708780500.0,2057.0,0.0,990.0,8.0,0.0,10107402.0,9505248.0,100387.0,3047570.0,0.0,0.0,7846099500.0,1909188500.0,1370407700.0,1.00366e18,3013213700.0,3014942500.0,1042255300.0,2102349200.0,1001197400.0,1504402000.0,230803020.0,1703532300.0,0.0,9103778000.0,1008382800.0,3061064700.0,6905236500.0,0.0,0.0,2000296600.0,9708182000.0,0.0,0.0,0.0,4795000000.0,1.02344e16,0.0,5097000000.0,5083000300.0,5072000000.0,152071970.0,15480384.0,20902768.0,36383150.0,31577348.0,30129872.0,61707216.0,98768470.0,98657750.0,197426220.0,4508731000.0
2006,9632030.0,1.02856e18,47880.0,1.0073e17,47160.0,7708780500.0,2008.0,0.0,990.0,70.0,0.0,0.0,0.0,0.0,3055495000.0,0.0,0.0,7697052700.0,1909406600.0,1358306700.0,1.08146e18,2054972300.0,3026204700.0,1000677760.0,2109385300.0,100598220.0,1604032600.0,2303918600.0,1803290200.0,0.0,9403655000.0,1101127400.0,3019579600.0,7700934700.0,0.0,0.0,2101108900.0,9502721000.0,0.0,0.0,0.0,5068000000.0,2.08463e16,0.0,4026999800.0,4023000000.0,4019000000.0,153931100.0,15790766.0,21152004.0,36942170.0,31782380.0,30332736.0,62115320.0,99695550.0,99626470.0,199322430.0,4506964000.0
2007,9632030.0,1.06083e18,48500.0,1.05432e18,48280.0,7708780500.0,202.0,770.0,990.0,70.0,0.0,0.0,0.0,0.0,3063421200.0,0.0,1608367600.0,7758066000.0,1901789800.0,1365705300.0,1.04519e18,1076171500.0,2086278900.0,1066822140.0,2104613000.0,1109231400.0,160634880.0,2209249300.0,1808887900.0,0.0,9806435000.0,1100738800.0,3053905700.0,8203180500.0,3001312800.0,0.0,2102522100.0,960890200.0,0.0,0.0,5428756.0,5219000000.0,3.06613e16,0.0,4001000000.0,4022000000.0,4025000000.0,155224880.0,16118061.0,21452008.0,37569160.0,31886002.0,30438116.0,62324460.0,100693340.0,100643670.0,201337580.0,4502259000.0
2008,9831510.0,1.08947e18,48980.0,1.06846e18,48290.0,7803902500.0,2072.0,760.0,990.0,70.0,0.0,0.0,0.0,0.0,3071348000.0,0.0,0.0,7488082000.0,1806176400.0,1366302800.0,1.07128e18,-36579804.0,1045131800.0,1065783200.0,2006073700.0,1208606300.0,1700073500.0,2101901700.0,1708742400.0,0.0,1010203200.0,1001601200.0,4021692000.0,8609952000.0,2807133200.0,0.0,2309599500.0,9109717000.0,0.0,0.0,0.0,5364000000.0,3.01092e16,0.0,5018000400.0,508400000.0,6096000000.0,157006860.0,16483342.0,21818560.0,38300984.0,31928302.0,30486116.0,62414796.0,101717390.0,101660260.0,203378190.0,4507301000.0
2009,9831510.0,1.06437e18,47730.0,1.03987e18,46940.0,780902460.0,2002.0,0.0,990.0,70.0,0.0,0.0,0.0,0.0,3079274000.0,0.0,0.0,7056083500.0,1705773800.0,1291301500.0,1.04489e18,-2036757100.0,62349988.0,68572536.0,190240030.0,1004887740.0,130926856.0,1700458100.0,1500414100.0,0.0,1030548200.0,7019453400.0,4027103000.0,890449660.0,2500958000.0,0.0,1801893100.0,9808819000.0,0.0,0.0,0.0,5740000000.0,1.01083e16,0.0,8059000000.0,905400000.0,1008000000.0,157109260.0,16901412.0,22251372.0,39152172.0,31946372.0,30509792.0,62456436.0,102625730.0,102536856.0,205162930.0,4608004000.0
