titulo,ranking
The First Descendant,3
Baldur's Gate 3,11
Lost Ark,23
Yu-Gi-Oh! Master Duel,66
Cyberpunk 2077: Phantom Liberty,97
Mortal Kombat 11,106
THE KING OF FIGHTERS XV,127
NEEDY GIRL OVERDOSE,169
Tom Clancy's Ghost Recon® Breakpoint,73
Grand Theft Auto: San Andreas – The Definitive Edition,131
Assassin's Creed® Origins,96
SOULCALIBUR VI,177
Atomic Heart,143
Summer Memories,218
It Takes Two Friend's Pass,0
活俠傳,217
DEAD OR ALIVE 6,211
Enlisted,254
Edición Completa de Horizon Forbidden West™,221
魔女的夜宴,248
Winter Memories,266
New World,271
Injustice™ 2,324
Phantasy Star Online 2 New Genesis,320
ATRI -My Dear Moments-,360
Outlast 2,344
Call of Duty®: Black Ops Cold War,449
House Party,383
DEVOUR,378
The Elder Scrolls V: Skyrim Anniversary Upgrade,399
Summer Memories+ - Expansion DLC,450
NosTale - Anime MMORPG,235
三国杀,374
DEAD OR ALIVE 5 Last Round: Core Fighters,462
WITCH ON THE HOLY NIGHT,512
Total War: PHARAOH,363
Living With Sister: Monochrome Fantasy,442
Angel Tear: Goddess Betrayed,409
Assassin's Creed Valhalla,471
Persona 5 Royal,498
Dusk Pub,430
Battlefield™ V,438
The Long Drive,412
Heavy Rain,477
Disco Elysium - The Final Cut,670
Soul Dossier,390
Action Taimanin,410
Class of '09,735
BlazBlue Centralfiction,765
A Way Out,549
Muse Dash,658
Crush Crush,707
Baldur's Gate 3 - Digital Deluxe Edition DLC,588
Mass Effect™ Legendary Edition,725
High On Life,672
Like a Dragon: Infinite Wealth,614
Angel Legion,766
Resident Evil Village,753
Los Sims™ 4 ¡A Trabajar!,754
美女，请别影响我学习,798
Los Sims™ 4 Años High School Pack de Expansión,949
Love Is All Around,939
麻雀一番街,890
SILENT HILL 2,981
Astral Party,732
The Elder Scrolls V: Skyrim VR,927
大侠立志传,913
The Sims™ 4 Seasons,922
Devil May Cry 5,782
Internet Cafe Simulator 2,967
CLICKOLDING,1051
Azure Orphanage,804
Life is Strange Remastered,1107
Vampyr,990
Muse Dash - Muse Plus,1046
Book Of Yog Idle RPG 依盖之书,1091
Outlast: Whistleblower DLC,1045
Resident Evil 3,1406
Scorn,1173
Monster Prom,1377
Live2DViewerEX,1360
Yakuza 0,1322
Five Nights at Freddy's: Help Wanted 2,1101
SNK HEROINES Tag Team Frenzy,1366
Magical Girl Celesphonia,1306
Dead By Daylight - Silent Hill Chapter,1196
Princess Project,1127
Autopsy Simulator,1224
Dead by Daylight - Resident Evil Chapter,1368
Dead by Daylight - Resident Evil: PROJECT W Chapter,1287
The Quarry,1560
Fate/Samurai Remnant,1631
Attack on Titan 2 - A.O.T.2,1436
South Park™: The Fractured But Whole™,1484
GWENT: The Witcher Card Game,1376
Dragon Age™ Inquisition,1474
暖雪 Warm Snow,1632
Tropical Paradise Costume & Movie Set,2841
Taboo Trial,1525
House Party - Detective Liz Katz in a Gritty Kitty Murder Mystery Expansion Pack,1602
Blush Blush,1961
Pathfinder: Kingmaker — Enhanced Plus Edition,1526
GGST Additional Character 13 - Slayer,2613
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,1249
"",216
Shadowverse CCG,1244
The Imperial Gatekeeper,1722
Enishia and the Binding Brand,1550
Bloodstained: Ritual of the Night,1690
港詭實錄ParanormalHK,1828
KILL la KILL -IF,1987
Lost Ark: Paquete de aceleración,2457
Bless Unleashed,2226
Deluxe Edition de Mass Effect™: Andromeda,2050
Doki Doki Literature Club Plus!,1865
To Be or Not to Be,1967
Drive Me Crazy,1629
Wasteland 3,2223
A.V.A Global,2386
CUSTOM ORDER MAID 3D2 It's a Night Magic,1588
VALKYRIE CONNECT,1342
撩妹模拟器：渣男的秘密,1744
Life is Strange 2,1689
VR Kanojo / VRカノジョ,2458
Rogue Company,2788
Toram Online,1596
Changed,2233
The Dark Pictures Anthology: Man of Medan,2014
Love n Life: Lucky Teacher,1750
黄毛漂流记,2269
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,1637
Ambrosia,2060
Breakers Collection,2524
Like a Dragon Gaiden: The Man Who Erased His Name,3005
Barony: Legends & Pariahs,2337
圣女战旗 Banner of the Maid,2296
Nitroplus Blasterz: Heroines Infinite Duel,2438
Barony: Myths & Outcasts,2204
The Rumble Fish 2,2691
Wedding Witch,1993
Miss Neko: Pirates,2298
FAIRY TAIL,2888
Riddle Joker,3095
总裁你想和谁谈恋爱,2133
Streamer Life Simulator,2230
Muv-Luv Alternative (マブラヴ オルタネイティヴ),2854
Demons Roots,2816
Yakuza: Like a Dragon,3963
Atelier Ryza 2: Lost Legends & the Secret Fairy,1227
"Los Sims™ 4 ¡Sí, Quiero! Pack de Contenido",2115
"",216
Soulworker,1951
My Special Summer Vacation 2,2704
Far Cry® Primal,1978
Café Stella and the Reaper's Butterflies,2379
Dragon Age II: Ultimate Edition,2369
Persona 4 Arena Ultimax,3276
Just Die Already,2425
Fallout 4 Nuka-World,3018
劍俠．風塵戀曲,2595
The Witcher 3: Wild Hunt - Blood and Wine,2656
Yakuza Kiwami,3311
勾八麻将(J8 Mahjong),3037
Succumate,2485
DOA6 THE KING OF FIGHTERS XIV Mashup Content Set,2561
Treasure Hunter Claire,2797
Dungeon's Legion,2370
Muv-Luv (マブラヴ),3160
Los Sims™ 4 Decoración Vegetal - Kit,3084
Ideology in Friction,2772
SENRAN KAGURA Burst Re:Newal,3661
POSTAL 2: Paradise Lost,3236
Super Mecha Champions,3266
Sheryl ~The Alchemist of the Island Ruins~,3280
My Life as a Cult Leader,3087
Daymare: 1998,3510
The Symbiant,3429
DYNASTY WARRIORS 9 Empires,3971
Minecraft Legends,2924
GGST Additional Character 4 - Baiken,4987
Petit Game Collection vol.1,3159
NEKOPARA Vol. 1,3537
Succubus Affection,2884
171,3219
Bum Simulator,3335
Yakuza Kiwami 2,4143
大侠立志传：碧血丹心 - DLC,3099
Pray Game,2671
Detective Girl of the Steam City,3549
In Search Of You,3601
Mortal Shell,3400
The Police Mystery,2876
Home Sweet Home : Online,3353
Dungeon ∞ Create,2755
GGST Additional Character 10 - Johnny,5234
Dead Rising 2: Off the Record,3448
Sword Art Online: Fatal Bullet,3964
DOA6 Character: Tamaki,3343
DOA6 Character: Mai Shiranui,3463
Hand Simulator,3388
The Rumble Fish +,3708
Persona 3 Portable,3387
Fallout 4 VR,2001
Danganronpa Another Episode: Ultra Despair Girls,3096
Crawling Lab,3691
Phantasy Star Online 2 New Genesis - [SALE] 10000AC Exchange Ticket,2550
Hush Hush - Only Your Love Can Save Them,4949
Internet Cafe Simulator,3731
Raging Loop,3482
The Song of Saya,3915
Brave Alchemist Colette,3628
SUCCUBUS,3583
AI＊Shoujo/AI＊少女,3520
Dream Daddy: A Dad Dating Simulator,5339
The Cosmic Wheel Sisterhood,2659
GreedFall,0
Live2DViewerEX - Spine Expansion,3122
Alice in the Nightmare Land,4918
Choo-Choo Charles,2727
