titulo,ranking
Rust,10
Black Myth: Wukong,12
Baldur's Gate 3,11
Cyberpunk 2077,42
Snowbreak: Containment Zone,62
Cyberpunk 2077: Phantom Liberty,97
THE KING OF FIGHTERS XV,127
Grand Theft Auto: San Andreas – The Definitive Edition,131
Assassin's Creed® Origins,96
SOULCALIBUR VI,177
Summer Memories,218
SCUM,207
DEAD OR ALIVE 6,211
魔女的夜宴,248
Winter Memories,266
Outlast,316
Phantasy Star Online 2 New Genesis,320
Conan Exiles,295
ATRI -My Dear Moments-,360
Outlast 2,344
The Witcher 3: Wild Hunt,311
House Party,383
The Elder Scrolls V: Skyrim Anniversary Upgrade,399
Summer Memories+ - Expansion DLC,450
Total War: PHARAOH,363
The Sims™ 3,439
Expansion - Hearts of Iron IV: By Blood Alone,406
Angel Tear: Goddess Betrayed,409
Living With Sister: Monochrome Fantasy,442
Assassin's Creed Valhalla,471
Dusk Pub,430
Heavy Rain,477
Soul Dossier,390
Action Taimanin,410
Kingdom Come: Deliverance,519
A Way Out,549
BlazBlue Centralfiction,765
Muse Dash,658
Street Fighter V,612
Baldur's Gate 3 - Digital Deluxe Edition DLC,588
Angel Legion,766
Mass Effect™ Legendary Edition,725
Rust - Sunburn Pack,693
Crush Crush,707
The Texas Chain Saw Massacre,831
Resident Evil Village,753
High On Life,672
美女，请别影响我学习,798
Devil May Cry 5,782
Azure Orphanage,804
Book Of Yog Idle RPG 依盖之书,1091
Outlast: Whistleblower DLC,1045
Black Myth: Wukong Mejora a edición Deluxe,1252
South Park™: The Fractured But Whole™,1484
Monster Prom,1377
NieR:Automata™,1222
Scorn,1173
SNK HEROINES Tag Team Frenzy,1366
The Quarry,1560
Magical Girl Celesphonia,1306
Wolfenstein II: The New Colossus,1535
Princess Project,1127
Autopsy Simulator,1224
Attack on Titan 2 - A.O.T.2,1436
Fahrenheit: Indigo Prophecy Remastered,1419
Blasphemous,1655
Bloodstained: Ritual of the Night,1690
Tropical Paradise Costume & Movie Set,2841
House Party - Detective Liz Katz in a Gritty Kitty Murder Mystery Expansion Pack,1602
GWENT: The Witcher Card Game,1376
GGST Additional Character 13 - Slayer,2613
Blush Blush,1961
Far Cry 3,1491
Shadowverse CCG,1244
Taboo Trial,1525
FINAL FANTASY XV WINDOWS EDITION,1557
Enishia and the Binding Brand,1550
South Park™: The Stick of Truth™,1762
The Imperial Gatekeeper,1722
Conan Exiles: Isle of Siptah,1771
KILL la KILL -IF,1987
VALKYRIE CONNECT,1342
Pathfinder: Wrath of the Righteous - Commander Pack,1657
Necromunda: Hired Gun,1801
VR Kanojo / VRカノジョ,2458
Pillars of Eternity II: Deadfire,2284
The Dark Pictures Anthology: Man of Medan,2014
To Be or Not to Be,1967
港詭實錄ParanormalHK,1828
NieR Replicant™ ver.1.22474487139...,2023
撩妹模拟器：渣男的秘密,1744
Exanima,1959
Deluxe Edition de Mass Effect™: Andromeda,2050
Life is Strange 2,1689
Ryse: Son of Rome,1867
CUSTOM ORDER MAID 3D2 It's a Night Magic,1588
Love n Life: Lucky Teacher,1750
