titulo,ranking
Counter-Strike 2,1
PUBG: BATTLEGROUNDS,2
Dota 2,4
Once Human,8
Baldur's Gate 3,11
Dead by Daylight,14
Norland,16
Tom Clancy's Rainbow Six® Siege,28
Bodycam,24
RimWorld,33
Crusader Kings III,29
Hearts of Iron IV,30
Black Desert,56
Kunitsu-Gami: Path of the Goddess,58
Yu-Gi-Oh! Master Duel,66
Sid Meier’s Civilization® VI,68
Stellaris,83
Magic: The Gathering Arena,85
F1® Manager 2024,75
Manor Lords,69
Raft,86
Oxygen Not Included,79
Cities: Skylines II,81
7 Days to Die,95
Europa Universalis IV,94
Wartales,90
TerraScape,71
Total War: WARHAMMER III,104
The Crust,77
FOR HONOR™,119
Anno 1800,59
Tom Clancy's Ghost Recon® Wildlands,355
Marvel's Midnight Suns,120
Factorio,128
Bloons TD 6,163
Slay the Spire,155
World of Tanks Blitz,132
War Robots,150
Guild Wars 2,160
PAYDAY 2,174
Yaoling: Mythical Journey,172
Eternal Return,166
Don't Starve Together,173
RimWorld - Biotech,199
Age of Empires IV: Anniversary Edition,154
Timberborn,159
Balatro,220
RimWorld - Anomaly,200
Northgard,182
Victoria 3,178
Age of Mythology: Retold,152
Satisfactory,193
Dune: Spice Wars,149
Age of Empires II: Definitive Edition,187
Planet Zoo,179
Card Survival: Tropical Island,135
Empires of the Undergrowth,380
Tabletop Simulator,245
Cities: Skylines,203
活俠傳,217
Planet Coaster,209
Fabledom,170
Football Manager 2024,180
Arma Reforger,226
Bellwright,210
Dungeonborne - Saca de mithril,237
Squad,243
Crusader Kings III: Tours & Tournaments,214
Space Engineers,247
Hell Let Loose,265
Albion Online,212
Wizard101,326
Persona 3 Reload,267
Space Prison,222
SMITE®,262
ASKA,239
Arma 3,261
Mount & Blade II: Bannerlord,251
Workers & Resources: Soviet Republic,228
DCS World Steam Edition,252
Age of Wonders 4,242
Reus 2,260
Summoners' War: Sky Arena,181
Conqueror's Blade,275
Cult of the Lamb,274
The Farmer Was Replaced,250
MARVEL SNAP,314
Solium Infernum,359
Nova Lands,497
Limbus Company,330
Overcooked! 2,303
Sid Meier's Civilization® VI: Gathering Storm,305
Total War: WARHAMMER II,328
Expansion - Hearts of Iron IV: Arms Against Tyranny,286
The Long Dark,307
Car Mechanic Simulator 2021,319
Fights in Tight Spaces,680
