titulo,ranking
The First Descendant,3
Dota 2,4
Warframe,6
Once Human,8
Team Fortress 2,13
Destiny 2,17
War Thunder,20
Apex Legends™,19
Lost Ark,23
NARAKA: BLADEPOINT,18
Call of Duty®: Warzone™,43
ヘブンバーンズレッド,31
The Sims™ 4,40
Path of Exile,51
Overwatch® 2,115
Yu-Gi-Oh! Master Duel,66
Snowbreak: Containment Zone,62
Dungeonborne,88
Magic: The Gathering Arena,85
THE FINALS,108
MapleStory,105
World of Warships,87
eFootball™ 2024,208
STAR WARS™: The Old Republic™,133
VRChat,151
World of Tanks Blitz,132
Brawlhalla,191
War Robots,150
Guild Wars 2,160
Eternal Return,166
Fishing Planet,197
Hero's Land,164
Palia,244
STALCRAFT: X,201
DEAD OR ALIVE 6,211
Enlisted,254
Wizard101,326
Albion Online,212
SMITE®,262
World of Tanks,240
MultiVersus,269
Torchlight: Infinite,256
DCS World Steam Edition,252
Summoners' War: Sky Arena,181
MARVEL SNAP,314
RuneScape ®,293
Conqueror's Blade,275
IdleOn - The Idle RPG,306
Limbus Company,330
Russian Fishing 4,294
"",216
Crossout,483
Summoners' War: Chronicles,431
Governor of Poker 3,384
Halo Infinite,394
NosTale - Anime MMORPG,235
DEAD OR ALIVE 5 Last Round: Core Fighters,462
三国杀,374
Firestone: Online Idle RPG,348
UNDECEMBER,734
Warspear Online,447
Shop Titans,416
Game of Thrones Winter is Coming,545
Star Trek Online,472
Killer Instinct,576
生死狙击2,540
Old School RuneScape,772
Aimlabs,547
Soul Dossier,390
Vegas Infinite by PokerStars,677
Paladins®,544
Action Taimanin,410
Age of Empires III: Definitive Edition,487
GrandChase,0
Yu-Gi-Oh! Duel Links,536
Trove,706
Stumble Guys,554
Realm of the Mad God Exalt,565
Poppy Playtime,556
Goose Goose Duck,648
Neverwinter,695
Angel Legion,766
Dungeons & Dragons Online®,548
March of Empires,594
RAID: Shadow Legends,793
Crush Crush,707
Rec Room,884
Asphalt Legends Unite,669
Predecessor,710
EVE Online,1156
Lords Mobile,684
Fallout Shelter,733
Doomsday: Last Survivors,1005
Idle Champions of the Forgotten Realms,749
The Lord of the Rings Online™,841
Dragonheir: Silent Gods,1019
DC Universe™ Online,796
Undawn,885
Operation: New Earth,962
SOVL: Fantasy Warfare,824
My Singing Monsters,1038
3on3 FreeStyle: Rebound,1108
Lost Light,806
BLEACH Brave Souls,756
RISK: Global Domination,1030
Book Of Yog Idle RPG 依盖之书,1091
VTube Studio,1182
Warface: Clutch,894
CounterSide,1304
PlanetSide 2,0
Farlight 84,2291
Unturned,1130
KRITIKA:ZERO,1278
Idle Hero TD - Tower Defense,1234
Stay Out,1336
Tower of Fantasy,1071
CONFLICT OF NATIONS: WORLD WAR 3,1288
Dark Deception,1464
Idle Slayer,1524
Crusader Kings II,1052
KARDS - El juego de cartas de la Segunda Guerra Mundial,1576
One-armed robber,1611
龙之谷,1178
theHunter Classic,1903
"Warhammer 40,000: Warpforge",1395
Cell to Singularity - Evolution Never Ends,1613
Blush Blush,1961
VEGA Conflict,1501
Unnamed Space Idle,1759
Knight Online,1265
GWENT: The Witcher Card Game,1376
Shakes and Fidget,1324
Tank Force: Juego de Disparos en Línea,1487
全民街篮,3118
Toram Online,1596
State of Survival,2016
Elsword,3025
VALKYRIE CONNECT,1342
Warhammer The Horus Heresy: Legions,1728
Town of Salem 2,2071
kings call,1964
Shadowverse CCG,1244
HD Poker: Texas Hold'em,2639
RaceRoom Racing Experience,1508
Dead Frontier 2,1583
Combat Master: Season 1,1858
MechWarrior Online™ Legends,1714
Bless Unleashed,2226
Bloons TD Battles 2,2034
Honkai Impact 3rd,1347
"",216
Dominion,1904
Black Squad,1603
Rogue Company,2788
Century: Age of Ashes,1809
MONOPOLY Poker,1442
Armored Warfare,1672
Pinball FX,2195
Counter-Strike Nexon: Studio,1664
Animal Jam,3172
Driver Booster for Steam,1742
Freestyle 2: Street Basketball,2208
Catan Universe,2486
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,1637
NGU IDLE,2552
MARVEL Puzzle Quest,1564
Idling to Rule the Gods,2241
Pixel Starships,3481
Gems of War - Puzzle RPG,1834
Hero Zero - Multiplayer RPG,1843
Soulworker,1951
Transformice,2028
LoveBeat,2088
Poker Championship,2853
火焰征程,2541
SMASH LEGENDS,2462
AdVenture Capitalist,2055
Yi Xian: The Cultivation Card Game,2543
Wurm Online,3645
Will To Live Online,2389
Waven,2483
Star Trek Timelines,3898
Battle Tanks: Leyendas de la Segunda Guerra Mundial,2982
Infinity Kingdom,3468
EverQuest,2141
SAS: Zombie Assault 4,2750
Champions Online,3942
Animation Throwdown: The Quest for Cards,3349
Zula Global,3226
Ironsight,2920
Mr.Mine,2675
Leaf Blower Revolution - Idle Game,3045
Clicker Heroes,2183
Tap Ninja - Idle game,2902
POLYGON,3420
Runes of Magic,3258
Infinite Lagrange,3853
Supremacy 1914: World War 1,4169
RPG MO,2249
Echocalypse: The Scarlet Covenant,2449
Spiral Knights,4847
Global City,2434
剑气劫,2785
World Of Robots,0
Drakensang Online,2423
Onmyoji,3370
Our Life: Beginnings & Always,3469
Animaze by FaceRig,2898
Karos,4876
Idle Cave Miner,2650
Incremental Cubes,0
Business Tour - Board Game with Online Multiplayer,2958
Super Animal Royale,3617
月圆之夜 (Night of Full Moon),3274
War Selection,2992
Spellstone,3148
Super Mecha Champions,3266
Vampire: The Masquerade - Bloodhunt,3224
Shinobi Warfare,2526
MergeCrafter,4039
WGT Golf,2277
Dungeon Fighter Online,4449
Tree of Savior (English Ver.),4211
A.V.A Global,2386
World of Warplanes,2556
Pinball FX3,2766
Minion Masters,2947
Bloons Adventure Time TD,3401
RIFT,2801
VTuber Maker,3516
Stronghold Kingdoms,4093
Romans: Age of Caesar,3200
PROJECT: PLAYTIME,4134
Prominence Poker,3244
Quake Champions,4119
Idle Skilling,2941
APB Reloaded,3155
Secret World Legends,4035
LET IT DIE,3928
Xanadu Land,6797
One-armed cook,4281
Home Sweet Home : Online,3353
最强祖师,2107
三国群英之兵临天下,0
Star Realms,2244
World War Armies,3413
League of Angels: Pact,2911
Warhammer: Chaos And Conquest,0
Zoo 2: Animal Park,2319
Call of War: World War 2,2209
Super Auto Pets,3384
Blackjack Championship,3767
Granado Espada,2637
World of Guns: Gun Disassembly,4107
Titan Revenge,3667
Bloons Monkey City,3411
Auto Chess,3138
The Braves,4385
BATTLE CRUSH,4799
WAKFU,2744
La aventura de Sarah: Viaje en el tiempo,2986
Farmer Against Potatoes Idle,3555
Mitos.is: The Game,0
Star Chef 2: Cooking Game,3678
The Four Kings Casino and Slots,3594
MICROVOLTS: Recharged,2549
Florensia,3795
Banana,3459
EMERGENCY,3441
Wanderland,4221
Idle Wizard,2950
Omega Strikers,3946
Puzzle Quest 3,5619
新三國 漢室復興,4267
Adventure Escape Mysteries,3689
Caliber,2942
Marbles on Stream,3846
Flash Party,3896
Blood of Steel,3920
Sword Art Online: Integral Factor,4413
Deceit,4182
Screw Drivers,4536
Airline Manager,2863
Eternium,5119
Just Act Natural,4189
Hero Plus,4561
DPS IDLE,4730
Skyforge,4106
雀皇麻雀,3451
1v1.LOL - Battle Royale Game,5161
Virtual Villagers Origins 2,0
吞食天地2：誕生Reborn,2385
Grim Clicker,4774
CosmicBreak Universal,4335
Rakion Chaos Force,3783
Pro 11 - Football Manager Game,7054
KurtzPel,0
DISSIDIA FINAL FANTASY NT Free Edition,3364
League of Angels-Heaven's Fury,8457
Billar 3D - Pool,3880
"",216
"",216
Realm Grinder,0
Born Again,5140
梦三国2,5035
KartRider: Drift,0
疯狂炮炮捕鱼,5086
ASURA,6687
Your Chronicle,5348
Puzzle Pirates,3977
Hades' Star,3623
GunboundM,4804
Escape Memoirs: Mini Stories,4805
Cube Escape: Paradox,4935
Idle Clans,3867
Egg Surprise,4036
Warlander,4759
Star Sonata 2,3385
Sim Companies,0
Soccer Manager 2022,6059
航海霸業 Maritime hegemony,0
Dies irae ~Amantes amentes~,4995
Uptasia,8521
Tactical Nexus,3750
Mighty Party,5314
Zaccaria Pinball,0
Hired Ops,0
Coloring Pixels,5853
Eternal Card Game,0
Epic Roller Coasters,0
Stormshot,6404
ANOTHER EDEN,7201
Tailor Tales,8644
Learn to Fly 3,8737
Antimatter Dimensions,6787
Cooking Craze,5430
Cubic Castles,0
Spooky's Jump Scare Mansion,7754
Brave Nine,0
The Lord of the Rings: Journeys in Middle-earth,4120
Infestation: The New Z,6281
My Free Zoo,0
Trailer Park Boys: Greasy Money,0
Jigsaw Puzzle Dreams,5916
My Little Farmies,3501
Duelyst II,0
Onigiri,7820
Tribal Wars,5066
Pool Nation FX Lite,8800
三国很忙-0.1版,6962
"",216
Propagation VR,0
Torque Drift,6681
Merge Adventure: Magic Dragons,0
Cadria Item Shop,5247
Pixel Worlds: MMO Sandbox,6501
Warhammer Combat Cards,7488
9Dragons,3443
Speedway Challenge 2024,0
SYNTHETIK: Arena,0
Onmyoji：the card game,4419
Mansions of Madness,5432
Nordicandia,7697
Realm Royale Reforged,8998
Bro Falls,7762
Tanki Online,8405
Swarm Simulator: Evolution,0
"",216
The Fishing Club 3D: Multiplayer Sport Angling,0
Vacuum Warrior - Idle Game,6264
CRSED: Cuisine Royale,6507
Navy War: Batalla Naval Online,0
ダンジョン人狼,8955
Sneak Out,7360
PickCrafter,7386
Idle Research,7992
Sniper Fury,7347
Der Königsruf,7879
Hero Realms,7626
WWII Online,6695
Steel Ocean: Wolves of Deep Sea,8249
Closers,8289
Rise of Flight United,0
Alchemia Story,0
Redmatch 2,0
Destiny Online,8809
Tabletopia,0
Quaver,0
幻想三國誌-天元異事錄,0
METAL SLUG DEFENSE,0
Villagers and Heroes,5844
Panic Room. Casa de los secretos.,0
Stormbound,0
Bud Farm Idle Tycoon,8935
Pixel Studio - pixel art editor,8636
Pure Sniper,6205
Atlantica Global,2892
三國群英傳M,0
Idle Monster TD: Evolved,8560
Divine Knockout (DKO),0
BLOCKADE,5598
