titulo,ranking
No Man's Sky,7
Rust,10
RimWorld,33
Stardew Valley,41
Supermarket Simulator,46
Wallpaper Engine,53
Palworld,50
Phasmophobia,61
Euro Truck Simulator 2,55
Project Zomboid,93
Raft,86
Valheim,84
Oxygen Not Included,79
Wartales,90
Hades II,102
TerraScape,71
Garry's Mod,113
The Crust,77
Terraria,129
Oxygen Not Included: The Frosty Planet Pack,109
Nine Sols,126
Party Animals,134
Medieval Dynasty,116
Factorio,128
A Little to the Left,142
Dungeons of Hinterberg,117
ASTRONEER,147
Enshrouded,124
ARK: Survival Evolved,130
Bloons TD 6,163
Last Epoch,137
Slay the Spire,155
Assetto Corsa,168
Brawlhalla,191
PowerWash Simulator,167
Travellers Rest,144
The Binding of Isaac: Rebirth,171
Escape the Backrooms,183
Yaoling: Mythical Journey,172
Subnautica,196
Eternal Return,166
Don't Starve Together,173
Risk of Rain 2,230
RimWorld - Biotech,199
RimWorld - Anomaly,200
Human Fall Flat,184
Satisfactory,193
Dune: Spice Wars,149
SCUM,207
Card Survival: Tropical Island,135
Tabletop Simulator,245
Summer Memories,218
It Takes Two Friend's Pass,0
活俠傳,217
Vampire Survivors,223
DAVE THE DIVER,234
Blade and Sorcery,241
PANICORE,238
Space Engineers,247
Hell Let Loose,265
Anger Foot,233
The Forest,253
Pummel Party,232
Space Prison,222
Cuphead,264
Beat Saber,249
Reus 2,260
Hollow Knight,288
Gang Beasts,298
Rivals of Aether,352
Nova Lands,497
Sky: Niños de la Luz,335
IdleOn - The Idle RPG,306
Teardown,323
Overcooked! 2,303
Outlast,316
The Long Dark,307
Car Mechanic Simulator 2021,319
DREDGE,337
WorldBox - God Simulator,350
Fights in Tight Spaces,680
Hades,301
Unrailed!,524
A Little to the Left: Seeing Stars,338
Totally Accurate Battle Simulator,336
Gestalt: Steam & Cinder,315
Dyson Sphere Program,317
Hydroneer,321
Voidtrain,312
Outlast 2,344
RimWorld - Ideology,375
Euro Truck Simulator 2 - West Balkans,280
OUTBRK,346
Untitled Goose Game,367
Streets of Rage 4,376
"Wartales, Pirates of Belerion",351
RimWorld - Royalty,387
Escape Simulator,382
Tetris® Effect: Connected,381
The Vanishing of Ethan Carter,905
Demonologist,397
Dead Cells,434
DEVOUR,378
Session: Skate Sim,441
House Flipper 2,353
ANIMAL WELL,391
Stray,413
The Isle,414
Across the Obelisk,476
House Flipper,422
Golf With Your Friends,508
Slime Rancher,417
Summer Memories+ - Expansion DLC,450
"Little Kitty, Big City",420
Gas Station Simulator,429
Teenage Mutant Ninja Turtles: Shredder's Revenge,411
Gunfire Reborn,493
Firestone: Online Idle RPG,348
Emberward,444
Outer Wilds,469
Angel Tear: Goddess Betrayed,409
Black Mesa,428
Contraband Police,432
Risk of Rain 2: Survivors of the Void,520
Barony,518
My Summer Car,403
Coral Island,400
Living With Sister: Monochrome Fantasy,442
Shadows of Doubt,468
Dusk Pub,430
Wobbly Life,424
Buckshot Roulette,502
Enter the Gungeon,507
The Long Drive,412
Wartales - The Tavern Opens!,473
BattleBit Remastered,484
Dojo Masters,650
The Binding of Isaac: Repentance,481
Ravenswatch,513
PowerWash Simulator – Alice’s Adventures Special Pack,494
Rooftops & Alleys: The Parkour Game,525
Old School Rally,443
My Time at Sandrock,500
Disco Elysium - The Final Cut,670
Aimlabs,547
Beasts of Bermuda,458
Insurgency: Sandstorm,537
Who's Your Daddy?!,618
Undertale,528
Noita,515
Universe Sandbox,575
shapez,529
Dwarf Fortress,527
PICO PARK,584
Sker Ritual,616
Crosshair X,553
Geometry Dash,562
People Playground,587
American Truck Simulator - Nebraska,578
ROUNDS,662
Cosmoteer: Arquitecto y comandante de una nave espacial,586
Class of '09,735
Rust - Voice Props Pack,577
SuchArt: Genius Artist Simulator,448
Library Of Ruina,687
Kingdom Come: Deliverance,519
Grim Dawn,530
Little Misfortune,583
下一站江湖Ⅱ,596
Eastward,571
Darkest Dungeon®,698
Death's Door,608
Stumble Guys,554
Isonzo,572
GROUND BRANCH,721
Rain World,681
Stick Fight: The Game,631
Aimlabs+ Premium Membership,637
Roboquest,622
Oxygen Not Included - Spaced Out!,568
Stacklands,607
Realm of the Mad God Exalt,565
Go-Go Town!,638
A Way Out,549
Poppy Playtime,556
Goose Goose Duck,648
Dune: Spice Wars - House Vernius of Ix,542
Muse Dash,658
Monster Prom 3: Monster Roadtrip,726
The Binding of Isaac: Afterbirth,641
ARK: Genesis Season Pass,599
The Jackbox Party Pack 3,730
Backpack Battles,617
Brawlhalla - All Legends (Current and Future),771
American Truck Simulator - Texas,700
For The King,613
Automation - The Car Company Tycoon Game,570
Clanfolk,628
The Ascent,629
Unpacking,773
The Binding of Isaac: Afterbirth+,663
A Dance of Fire and Ice,703
OMORI,712
The Jackbox Party Pack 7,737
Darkest Dungeon® II: The Binding Blade,647
A Little to the Left: Cupboards & Drawers,742
山河旅探 - Murders on the Yangtze River,711
BONELAB,626
Sapiens,535
Rust - Sunburn Pack,693
They Are Billions,581
Firewatch,761
Liftoff®: FPV Drone Racing,582
Crush Crush,707
Plants vs. Zombies GOTY Edition,738
Squad 44,717
The Texas Chain Saw Massacre,831
Overcooked! All You Can Eat,720
Caves of Qud,692
Aseprite,724
Let's School,827
Prison Architect,671
Five Nights at Freddy's: Security Breach,930
Kenshi,818
"Papers, Please",786
Factory Outlet Simulator,630
Scrap Mechanic,817
Crestfallen: Medieval Survival,627
War of Rights,887
Feed and Grow: Fish,812
Idle Champions of the Forgotten Realms,749
Vampire Survivors: Operation Guns,808
Hydroneer: Journey to Volcalidus,750
Void Crew,909
Poppy Playtime - Chapter 3,763
BMX Streets,880
Golf It!,878
Chinese Parents,844
Viscera Cleanup Detail,911
TaleSpire,1028
Dustland Delivery,800
The Mortuary Assistant,1201
