titulo,ranking
PUBG: BATTLEGROUNDS,2
Dota 2,4
No Man's Sky,7
Once Human,8
Rust,10
Chained Together,15
War Thunder,20
Norland,16
Bodycam,24
Crusader Kings III,29
RimWorld,33
Hearts of Iron IV,30
Pacific Drive,36
EA SPORTS FC™ 24,34
Stardew Valley,41
Black Desert,56
The Sims™ 4,40
EA SPORTS FC™ 25,38
Supermarket Simulator,46
Yu-Gi-Oh! Master Duel,66
Sons Of The Forest,70
Sid Meier’s Civilization® VI,68
Forza Horizon 5,65
Microsoft Flight Simulator 40th Anniversary Edition,64
Euro Truck Simulator 2,55
Stellaris,83
Project Zomboid,93
NBA 2K24,82
American Truck Simulator,92
BeamNG.drive,80
Manor Lords,69
F1® Manager 2024,75
Cities: Skylines II,81
Raft,86
World of Warships,87
Oxygen Not Included,79
7 Days to Die,95
Call of Duty®: Black Ops III,112
Europa Universalis IV,94
TerraScape,71
Garry's Mod,113
The Crust,77
iRacing,111
DayZ,100
Anno 1800,59
恋爱单选题,122
Oxygen Not Included: The Frosty Planet Pack,109
F1® 24,101
eFootball™ 2024,208
Medieval Dynasty,116
Factorio,128
VRChat,151
Farming Simulator 22,121
ASTRONEER,147
theHunter: Call of the Wild™,139
Assetto Corsa,168
PowerWash Simulator,167
Travellers Rest,144
Soulmask,136
PAYDAY 2,174
Yaoling: Mythical Journey,172
Timberborn,159
RimWorld - Biotech,199
Abiotic Factor,205
Fishing Planet,197
Farming Simulator 25,165
Balatro,220
Northgard,182
RimWorld - Anomaly,200
Victoria 3,178
Satisfactory,193
Planet Zoo,179
Human Fall Flat,184
Dune: Spice Wars,149
Tabletop Simulator,245
Card Survival: Tropical Island,135
Empires of the Undergrowth,380
Cities: Skylines,203
Summer Memories,218
Planet Coaster,209
Palia,244
Blade and Sorcery,241
DAVE THE DIVER,234
ContractVille,206
Football Manager 2024,180
Enlisted,254
Bellwright,210
Crusader Kings III: Tours & Tournaments,214
Arma Reforger,226
Space Engineers,247
Green Hell,227
Squad,243
The Forest,253
PGA TOUR 2K23,308
Hell Let Loose,265
ASKA,239
Space Prison,222
Mount & Blade II: Bannerlord,251
Arma 3,261
Drug Dealer Simulator 2,215
World of Tanks,240
Workers & Resources: Soviet Republic,228
Reus 2,260
DCS World Steam Edition,252
SnowRunner,255
Los Sims™ 4 ¡Viva el Amor! Pack de Expansión,276
Winter Memories,266
The Farmer Was Replaced,250
Expeditions: A MudRunner Game,270
WWE 2K24,318
Police Simulator: Patrol Officers,279
Nova Lands,497
Overcooked! 2,303
Sid Meier's Civilization® VI: Gathering Storm,305
Teardown,323
IdleOn - The Idle RPG,306
The Long Dark,307
Expansion - Hearts of Iron IV: Arms Against Tyranny,286
Car Mechanic Simulator 2021,319
DREDGE,337
Assetto Corsa Competizione,284
WorldBox - God Simulator,350
Jurassic World Evolution 2,287
Slime Rancher 2,291
Grocery Store Simulator,273
WARNO,278
Infection Free Zone,292
Russian Fishing 4,294
Totally Accurate Battle Simulator,336
Dyson Sphere Program,317
Hydroneer,321
Voidtrain,312
Crusader Kings III: Royal Court,331
NBA 2K25,361
RimWorld - Ideology,375
OUTBRK,346
Euro Truck Simulator 2 - West Balkans,280
Untitled Goose Game,367
Victoria 3: Sphere of Influence,334
Train Sim World® 4,333
RimWorld - Royalty,387
Escape Simulator,382
Against the Storm,327
House Party,383
MX Bikes,475
Construction Simulator,354
House Flipper 2,353
Session: Skate Sim,441
House Flipper,422
Stellaris: The Machine Age,368
The Isle,414
Slay the Princess,454
Governor of Poker 3,384
Sun Haven,457
Gas Station Simulator,429
Maneater,415
Mechabellum,371
Slime Rancher,417
"Little Kitty, Big City",420
Sakuna: Of Rice and Ruin,421
Expansion - Hearts of Iron IV: No Step Back,401
Expansion - Hearts of Iron IV: By Blood Alone,406
Vampire Therapist,459
Summer Memories+ - Expansion DLC,450
Golf With Your Friends,508
Outer Wilds,469
Angel Tear: Goddess Betrayed,409
Firestone: Online Idle RPG,348
Pro Cycling Manager 2024,296
Destroyer: The U-Boat Hunter,299
X4: Foundations,385
Contraband Police,432
Old World,456
Coral Island,400
Shop Titans,416
Crusader Kings III: Legacy of Persia,419
MechWarrior 5: Mercenaries,490
VTOL VR,551
My Summer Car,403
Wobbly Life,424
Dusk Pub,430
Crusader Kings III: Legends of the Dead,389
Living With Sister: Monochrome Fantasy,442
Buckshot Roulette,502
Game of Thrones Winter is Coming,545
The Long Drive,412
CarX Drift Racing Online,465
My Time at Sandrock,500
PowerWash Simulator – Alice’s Adventures Special Pack,494
The Sims™ 3,439
Rooftops & Alleys: The Parkour Game,525
Out of the Park Baseball 25,661
Frostpunk 2,496
Country Pack - Hearts of Iron IV: Trial of Allegiance,479
Insurgency: Sandstorm,537
Old School Rally,443
Beasts of Bermuda,458
Total War: ROME II - Emperor Edition,534
Aimlabs,547
Crusader Kings III: Roads to Power,460
Universe Sandbox,575
Barotrauma,713
Train Simulator Classic 2024,505
Big Ambitions,452
Class of '09: The Re-Up,704
Dwarf Fortress,527
shapez,529
Who's Your Daddy?!,618
Night of the Dead,557
American Truck Simulator - Nebraska,578
Ships At Sea,640
People Playground,587
Class of '09,735
Yu-Gi-Oh! Duel Links,536
SuchArt: Genius Artist Simulator,448
Pioneers of Pagonia,437
Car For Sale Simulator 2023,386
Core Keeper,541
The Game of Life 2,609
The Sims™ 4 Cats & Dogs,593
Cosmoteer: Arquitecto y comandante de una nave espacial,586
Expansion - Hearts of Iron IV: La Résistance,574
Xenonauts 2,466
