titulo,ranking
Wallpaper Engine,53
Lossless Scaling,263
Crosshair X,553
Soundpad,654
Spirit City: Lofi Sessions,686
Aseprite,724
Standable: Full Body Estimation,1245
DSX,934
Dungeon Alchemist,919
VTube Studio,1182
Live2DViewerEX,1360
OVR Advanced Settings,1760
Fantasy Grounds Unity,1818
OVR Toolkit,1776
3DMark,1528
VBridger,2831
Driver Booster for Steam,1742
Driver Booster Upgrade to Pro(Lifetime),1754
DSX - Virtual DualSense Emulation,2219
MyDockFinder,2597
SRPG Studio,2376
XBPlay,2299
Stream Avatars,2377
Rocksmith+,2102
Movavi Video Editor 2023,2734
Chill Pulse,3298
Spirit City: Lofi Sessions - Supporter pack,2962
XSOverlay,2915
YoloMouse - Game Cursor Changer,3304
VTuber Maker,3516
HereSphere VR Video Player,5071
Virtual Desktop Classic,3239
Krita,3246
Movavi Video Editor 2024,0
Live2DViewerEX - Spine Expansion,3122
Borderless Gaming,4216
Beam Eye Tracker,4485
HudSight - custom crosshair overlay,3307
LurkBait Twitch Fishing,4525
Tacview,4903
Tacview Advanced,6604
iVRy Driver for SteamVR,3718
Driver4VR,6178
Controller Companion,5223
GameCreator,4040
Easy Pose,0
VoiceAttack,5200
VRidge,0
Movavi Photo Editor 2024,0
iVRy Driver for SteamVR (PSVR Premium Edition),5828
PCMark 10,5602
RPG Architect,0
Midinous,0
Aimbeast,6340
fpsVR,6078
Fences 5,4396
Just Click The Button,6899
Tilesetter,7759
Rytmik Studio,5195
DisplayFusion,0
VBridger - Editor,6793
Clickteam Fusion 2.5,3668
3DMark Storage Benchmark,6388
FPS Monitor – hardware in-game & desktop overlays,5063
SVFI,7110
Sim Racing Telemetry,7128
VRM Posing Desktop,8468
MotionMuse,7424
SRPG Studio Magic Effects Collection Vol2,8667
SRPG Studio Magic Effects Collection,8561
PixelOver,7729
GameGuru MAX Far Future Booster Pack - Offworld Station,0
GameGuru MAX,0
RPG Sounds,7779
Paradiddle,3974
Fantasy Grounds - D&D Xanathar's Guide to Everything,0
SAO Utils: Beta,8389
Qyllscape,0
WindowBlinds 11,0
GameMaker Professional,8498
GameMaker,8432
3DMark Speed Way Upgrade,5401
Ficket: 追剧引擎,7392
Start11 v2,8206
TyranoBuilder Visual Novel Studio,0
Virtual Handheld,0
Pixel Studio - pixel art editor,8636
DefleMask,0
Natural Locomotion,0
Pixel Game Maker MV / アクションゲームツクールMV,4871
GameGuru Classic,0
sheepChat,0
