titulo,ranking
The First Descendant,3
Black Myth: Wukong,12
Dead by Daylight,14
EARTH DEFENSE FORCE 6,21
Lost Ark,23
NARAKA: BLADEPOINT,18
Fallout 76,27
Call of Duty®: Warzone™,43
Cyberpunk 2077,42
Call of Duty®: Black Ops 6,47
Call of Duty®: Modern Warfare® III,52
Diablo® IV,45
Detroit: Become Human,63
Mortal Kombat 1,78
Ready or Not,91
Call of Duty®,110
Warframe: Colección Legado Abrasador de Ember,49
Cyberpunk 2077: Phantom Liberty,97
HITMAN World of Assassination,103
Wartales,90
Mortal Kombat 11,106
eFootball™ 2024,208
Tom Clancy's Ghost Recon® Breakpoint,73
"Warhammer 40,000: Darktide",138
Grand Theft Auto: San Andreas – The Definitive Edition,131
Warframe: Paquete Digital de TennoCon 2024,99
Last Epoch,137
Sekiro™: Shadows Die Twice - GOTY Edition,176
Call of Duty®: Modern Warfare® III - BlackCell (Temporada 4),225
Dead by Daylight - Tomb Raider Chapter,175
SCUM,207
It Takes Two Friend's Pass,0
Resident Evil 4,229
Blade and Sorcery,241
DEAD OR ALIVE 6,211
Anger Foot,233
Hell Let Loose,265
New World,271
Fights in Tight Spaces,680
Jurassic World Evolution 2,287
Injustice™ 2,324
Conan Exiles,295
Outlast 2,344
Call of Duty®: Black Ops Cold War,449
"Wartales, Pirates of Belerion",351
Call of Duty®: Modern Warfare® II,366
Beyond: Two Souls,373
DEVOUR,378
The Elder Scrolls V: Skyrim Anniversary Upgrade,399
Battlefield™ 1,464
God of War,425
Dying Light 2 Stay Human: Reloaded Edition,377
Persona 5 Royal,498
Maneater,415
Call of Duty®: Modern Warfare® III - Paquete Trazadoras: Paquete de Profesional - Aspecto Ultra Moldeado a Medida,436
Mortal Kombat X,453
Aliens: Dark Descent,402
Firestone: Online Idle RPG,348
System Shock,478
Assassin's Creed Valhalla,471
Wartales - The Tavern Opens!,473
New World: Rise of the Angry Earth,486
Heavy Rain,477
Lies of P,480
Frostpunk 2,496
Battlefield™ V,438
Sniper Elite 5,514
Insurgency: Sandstorm,537
Days Gone,523
Dead by Daylight - Dungeons & Dragons,559
Killer Instinct: Anniversary Edition,659
People Playground,587
DOOM Eternal,550
Call of Duty®: Modern Warfare®,522
Barotrauma,713
Evil West,600
Tomb Raider I-III Remastered Starring Lara Croft,555
Call of Duty®: Modern Warfare® III - Paquete Trazadoras: Paquete de Profesional - Zodiaco: Cáncer,602
A Way Out,549
ARK: Genesis Season Pass,599
World War Z,569
Baldur's Gate 3 - Digital Deluxe Edition DLC,588
State of Decay 2: Juggernaut Edition,573
The Ascent,629
Warframe: Paquete de Accesorios de Protea Prime,690
METAL GEAR & METAL GEAR 2: Solid Snake,850
Total War: THREE KINGDOMS,705
Like a Dragon: Infinite Wealth,614
Puntos de Modern Warfare® III o Call of Duty: Warzone™,926
Warframe: Prime Access de Protea - Paquete de Armas,585
Fallen Aces,660
Squad 44,717
GTFO,876
The Texas Chain Saw Massacre,831
High On Life,672
BONELAB,626
Dead by Daylight - Alien Chapter Pack,709
Resident Evil Village,753
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,795
War of Rights,887
Call of Duty®: Modern Warfare® III - Paquete Trazadoras: Paquete de Profesional - Aspecto Ultra Habla Pestes 2.0,860
Doomsday: Last Survivors,1005
Dead by Daylight - All Things Wicked Chapter,762
Killer Klowns from Outer Space: The Game,759
SILENT HILL 2,981
Poppy Playtime - Chapter 3,763
Middle-earth™: Shadow of War™,814
Devil May Cry 5,782
Dead Space,1175
Titanfall® 2,908
Crow Country,1197
Easy Red 2,937
SIGNALIS,1034
Resident Evil 4: Caminos distintos,932
DOOM,1059
From Glory To Goo,991
Door Kickers 2: Task Force North,984
Lote Tesoros perdidos de Fallout 76: Skyline Valley,881
Vampyr,990
"Warhammer 40,000: Boltgun",1076
Dead by Daylight - Nicolas Cage Chapter Pack,957
Resident Evil 2,1185
Call of Duty®: WWII,995
A Total War Saga: TROY,842
Pavlov,1063
Warframe: Prime Access de Protea - Paquete Prime,996
Metro Exodus,803
Chivalry 2 - Special Edition Content,1168
Trepang2,1098
Mr.President!,955
Chivalry 2 - King's Edition Content,1281
Resident Evil 3,1406
POSTAL 2,1237
NieR:Automata™,1222
Return of the Obra Dinn,1205
Persona 4 Golden,1008
Total War: WARHAMMER III - Champions of Chaos,1143
HARD BULLET,1166
Resident Evil 7 Biohazard,928
Graveyard Keeper,875
Battle Talent,1421
Scorn,1173
Dead by Daylight - Alan Wake Chapter,1163
BONEWORKS,1293
Mortal Sin,1493
POSTAL: Brain Damaged,1398
Dead by Daylight - Stranger Things Chapter,1248
Warframe: Paquete Coro de Jade,1216
Shadow of the Tomb Raider: Definitive Edition,1314
Battlefleet Gothic: Armada 2,1133
The Quarry,1560
Arma 3 Creator DLC: S.O.G. Prairie Fire,1319
Gears 5,1480
EARTH DEFENSE FORCE 5,1273
Sniper Ghost Warrior Contracts 2,1367
Stay Out,1336
Dead by Daylight - Endless Hunt Pack,1381
UNDERDOGS,1220
Maneater: Truth Quest,1256
Dead By Daylight - Silent Hill Chapter,1196
Paint the Town Red,1154
Call of Duty®: Vanguard,1198
Dead by Daylight - Resident Evil Chapter,1368
Yakuza 0,1322
Dead by Daylight - Resident Evil: PROJECT W Chapter,1287
Wolfenstein II: The New Colossus,1535
"Warhammer 40,000: Battlesector",1432
Police Stories,1276
Little Nightmares II,1400
Fate/Samurai Remnant,1631
Dead by Daylight - End Transmission Chapter,1298
Killing Floor,1580
Suicide Squad: Kill the Justice League,1250
Battlefield 4™,1192
Call of Duty®: Modern Warfare® Remastered (2017),1854
Blasphemous,1655
Outward Definitive Edition,2331
Remnant: From the Ashes,1517
Red Dead Online,1445
Batman - The Telltale Series,1643
The Expanse: A Telltale Series,1553
Survival: Fountain of Youth,1153
Nioh 2 – The Complete Edition,1556
Dead by Daylight - Chucky Chapter,1463
Mecha Knights: Nightmare,1538
SUPERHOT,1669
RoboCop: Rogue City,1650
Hellsplit: Arena,2081
Deadside,1540
Contractors,1864
Warframe: Paquete Crónicas de Dante,1786
