genero,cantidad,windows,mac,linux,Variadas,Extremadamente negativas,Positivas,Negativas,Muy positivas,Extremadamente positivas,Muy negativas,Mayormente positivas,Mayormente negativas,Suma Negativa,Suma Positiva
Accion,3871,3851,559,1,560,5,184,1,1833,329,10,670,65,81,3016
Animacion Modelado,44,44,9,1,4,0,2,0,16,6,0,10,0,0,34
Aventura,3284,3261,477,1,449,2,108,1,1608,383,10,546,50,63,2645
Carreras,339,338,34,1,39,2,27,0,162,15,2,45,7,11,249
Contenido Sexual,493,491,47,1,53,1,13,0,251,52,2,108,3,6,424
Deportes,422,422,64,1,64,2,31,0,173,20,2,68,18,22,292
Desarrollo Juegos,52,52,15,1,4,0,6,0,28,4,0,5,0,0,43
Desnudos,443,441,44,1,50,0,17,0,215,41,0,98,3,3,371
Diseno Ilustracion,81,81,13,1,9,0,4,0,36,10,0,15,0,0,65
Disparos,862,862,102,1,105,2,24,0,433,90,0,160,13,15,707
Documentales,2,2,1,1,0,0,0,0,1,0,0,0,0,0,1
Edicion Fotografica,11,11,2,1,1,0,0,0,5,3,0,2,0,0,10
Educacion,187,187,42,1,16,2,9,0,100,20,0,27,2,4,156
Estrategia,2317,2309,611,1,407,3,106,1,1026,136,2,480,53,59,1748
Formacion Software,10,10,0,1,2,0,0,0,5,0,0,2,0,0,7
Free To_play,356,356,39,1,115,2,0,0,112,7,0,115,2,4,234
Indie,2610,2583,712,1,238,0,131,0,1386,363,2,367,22,24,2247
Multijugador Masivo,505,504,91,1,143,0,35,0,136,4,1,128,13,14,303
Primera Persona,1383,1383,156,1,167,2,41,0,739,145,1,226,20,23,1151
Produccion Audio,12,12,1,1,1,0,1,0,4,5,0,1,0,0,11
Publicacion Web,13,13,1,1,0,0,1,0,8,1,0,2,0,0,12
Rol,2109,2101,370,1,326,1,75,0,1000,161,5,432,29,35,1668
Sangriento,872,872,127,1,143,2,41,0,359,90,3,154,29,34,644
Simulacion,2905,2895,648,1,512,2,181,1,1262,180,8,544,63,74,2167
Tutoriales,87,87,12,1,9,1,7,0,41,6,0,18,0,1,72
Utilidades,75,75,8,1,10,1,3,0,33,10,0,11,1,2,57
Violentos,924,923,133,1,181,2,52,0,357,66,3,176,29,34,651
