Ranking,Titulo,Critica Usuarios,Aprobacion,Cantidad Reviews,Windows,Mac,Linux,Fecha Lanzamiento,Precio Steam,Critica Categorica,Fecha Ingles,Fecha,Accion,Animacion Modelado,Aventura,Carreras,Contenido Sexual,Deportes,Desarrollo Juegos,Desnudos,Diseno Ilustracion,Disparos,Documentales,Edicion Fotografica,Educacion,Estrategia,Formacion Software,Free To Play,Indie,Multijugador Masivo,Primera Persona,Produccion Audio,Publicacion Web,Rol,Sangriento,Simulacion,Tutoriales,Utilidades,Violentos
1,Counter-Strike 2,Muy positivas,87,8160723,1,1,0,21 AGO 2012,Gratuito,2,21 AUG 2012,2012-08-21,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,PUBG: BATTLEGROUNDS,Variadas,58,2397033,1,0,0,21 DIC 2017,Gratuito,5,21 DEC 2017,2017-12-21,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
3,The First Descendant,Variadas,54,63966,1,0,0,30 JUN 2024,Gratuito,5,30 JUN 2024,2024-06-30,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
4,Dota 2,Muy positivas,81,2278393,1,1,1,9 JUL 2013,Gratuito,2,9 JUL 2013,2013-07-09,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
5,Steam Deck,Sin Dato,0,0,1,1,1,"",Sin Dato,10,"",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Warframe,Muy positivas,87,583794,1,0,0,25 MAR 2013,Gratuito,2,25 MAR 2013,2013-03-25,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
7,No Man's Sky,Mayormente positivas,78,231669,1,0,1,12 AGO 2016,$59.99,3,12 AUG 2016,2016-08-12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
8,Once Human,Mayormente positivas,70,43033,1,0,0,9 JUL 2024,Gratuito,3,9 JUL 2024,2024-07-09,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
9,Red Dead Redemption 2,Muy positivas,91,548927,1,0,0,5 DIC 2019,$59.99,2,5 DEC 2019,2019-12-05,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10,Rust,Muy positivas,87,896175,1,0,1,8 FEB 2018,$18.99,2,8 FEB 2018,2018-02-08,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
11,Baldur's Gate 3,Extremadamente positivas,96,561274,1,0,1,3 AGO 2023,$34.99,1,3 AUG 2023,2023-08-03,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,Black Myth: Wukong,Sin Dato,0,0,1,0,0,19 AGO 2024,$59.99,10,19 AUG 2024,2024-08-19,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13,Team Fortress 2,Muy positivas,86,1110432,1,1,0,10 OCT 2007,Gratuito,2,10 OCT 2007,2007-10-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14,Dead by Daylight,Muy positivas,80,531046,1,0,0,14 JUN 2016,$14.99,2,14 JUN 2016,2016-06-14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
15,Chained Together,Muy positivas,89,17646,1,0,0,19 JUN 2024,$2.99,2,19 JUN 2024,2024-06-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,Norland,Mayormente positivas,71,1743,1,0,0,18 JUL 2024,$14.99,3,18 JUL 2024,2024-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Destiny 2,Muy positivas,80,606979,1,0,0,1 OCT 2019,Gratuito,2,1 OCT 2019,2019-10-01,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
18,NARAKA: BLADEPOINT,Mayormente positivas,75,237109,1,0,0,11 AGO 2021,Gratuito,3,11 AUG 2021,2021-08-11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
19,Apex Legends™,Mayormente positivas,71,898830,1,0,0,4 NOV 2020,Gratuito,3,4 NOV 2020,2020-11-04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,War Thunder,Mayormente positivas,74,510369,1,1,1,15 AGO 2013,Gratuito,3,15 AUG 2013,2013-08-15,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
21,EARTH DEFENSE FORCE 6,Sin Dato,0,0,1,0,0,25 JUL 2024,$47.99,10,25 JUL 2024,2024-07-25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
22,Street Fighter™ 6,Muy positivas,85,27394,1,0,0,1 JUN 2023,$44.99,2,1 JUN 2023,2023-06-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,Lost Ark,Mayormente positivas,71,200065,1,0,0,11 FEB 2022,Gratuito,3,11 FEB 2022,2022-02-11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
24,Bodycam,Mayormente positivas,73,18772,1,0,0,7 JUN 2024,$17.99,3,7 JUN 2024,2024-06-07,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
25,FINAL FANTASY XIV Online,Muy positivas,87,69303,1,0,0,18 FEB 2014,$15.99,2,18 FEB 2014,2014-02-18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
26,GUILTY GEAR -STRIVE-,Muy positivas,91,36092,1,0,0,11 JUN 2021,$19.99,2,11 JUN 2021,2021-06-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
